Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3462290801,3.71333970502,0.0,0.0,4.58992532963,8.1892,34.2228121431,25.113192225,3.33988,5.76973991814
 01/01  02:00:00,14.8630071934,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.9003479448,0.0,0.0,0.0,1.52997510988,7.4902,3.93193189573,0.0,3.33988,0.59205189573
 01/01  04:00:00,14.9216535655,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,15.1021713233,0.0,0.0,0.0,1.52997510988,7.4902,3.93193783122,0.0,3.33988,0.592057831224
 01/01  06:00:00,22.56380895,3.71333970502,0.0,0.0,4.58992532963,8.1892,15.8654249702,7.49572497021,8.3497,0.02
 01/01  07:00:00,38.5079572716,3.71333970502,0.0145280058818,0.0,9.17985065927,19.4245,23.3573248568,3.19593585382,16.6994,3.46198900301
 01/01  08:00:00,41.7378712,3.71333970502,0.0157006402963,0.0,9.17985065927,26.9147,29.0856833818,0.0,25.0491,4.03658338177
 01/01  09:00:00,41.7799850835,3.71333970502,0.0144839909299,0.0,9.17985065927,26.9147,36.8618654952,0.0,33.3988,3.46306549524
 01/01  10:00:00,34.3177875015,3.71333970502,0.00429057854841,0.0,9.17985065927,19.4245,28.5433146682,0.0312311068524,25.0491,3.46298356133
 01/01  11:00:00,43.1878767679,3.71333970502,1.35577753671,0.0,9.17985065927,26.9147,53.329394816,0.0,41.7485,11.580894816
 01/01  12:00:00,45.9484812224,3.71333970502,3.38605888538,0.0,9.17985065927,26.9147,53.329591743,0.0,41.7485,11.581091743
 01/01  13:00:00,47.4542169291,3.71333970502,5.53391544194,0.0,9.17985065927,26.9147,50.9983279284,0.0,41.7485,9.24982792844
 01/01  14:00:00,39.4052278142,3.71333970502,5.02639687381,0.0,9.17985065927,19.4245,42.6486471798,0.0,33.3988,9.2498471798
 01/01  15:00:00,37.4509681009,3.71333970502,3.07759456677,0.0,9.17985065927,19.4245,31.9762801047,0.0,25.0491,6.92718010469
 01/01  16:00:00,36.1833956736,3.71333970502,1.82588914156,0.0,9.17985065927,19.4245,40.9016529236,0.0,33.3988,7.50285292363
 01/01  17:00:00,43.903946878,3.71333970502,1.10068623812,0.0,9.17985065927,26.9147,57.0258205361,0.0,50.0982,6.92762053607
 01/01  18:00:00,46.6609719142,3.71333970502,0.698359641956,0.0,9.17985065927,26.9147,59.3461697009,0.0,50.0982,9.2479697009
 01/01  19:00:00,46.3864746966,3.71333970502,0.449332850479,0.0,9.17985065927,26.9147,61.6799542014,0.0,50.0982,11.5817542014
 01/01  20:00:00,38.565674743,3.71333970502,0.0,0.0,9.17985065927,19.4245,45.0656240122,0.086202690979,33.3988,11.5806213212
 01/01  21:00:00,38.5240323652,3.71333970502,0.0,0.0,9.17985065927,19.4245,43.2534104762,0.609066048554,33.3988,9.24554442762
 01/01  22:00:00,38.4399318334,3.71333970502,0.0,0.0,9.17985065927,19.4245,46.2708329715,9.64497111523,25.0491,11.5767618563
 01/01  23:00:00,38.3179474487,3.71333970502,0.0,0.0,9.17985065927,19.4245,41.0578860187,15.1132019141,16.6994,9.24528410456
 01/01  24:00:00,39.0630292998,3.71333970502,0.0,0.0,9.17985065927,19.4245,32.5098285912,19.5466878974,8.3497,4.61344069382
 01/02  01:00:00,22.3467909021,3.71333970502,0.0,0.0,4.58992532963,8.1892,38.4340754542,30.4794808615,3.33988,4.61471459273
 01/02  02:00:00,14.8010490536,0.0,0.0,0.0,1.52997510988,7.4902,3.93193689188,0.0,3.33988,0.592056891883
 01/02  03:00:00,14.8218590052,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.8283428701,0.0,0.0,0.0,1.52997510988,7.4902,3.93194281942,0.0,3.33988,0.592062819418
 01/02  05:00:00,14.9741779875,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  06:00:00,22.4313256422,3.71333970502,0.0,0.0,4.58992532963,8.1892,53.5428521852,45.1731521852,8.3497,0.02
 01/02  07:00:00,38.4146749395,3.71333970502,0.0166629968981,0.0,9.17985065927,19.4245,53.5352108394,32.799582458,16.6994,4.03622838133
 01/02  08:00:00,41.6603882394,3.71333970502,0.0188396615382,0.0,9.17985065927,26.9147,60.5360242079,21.5682020493,25.0491,13.9187221586
 01/02  09:00:00,41.6893573476,3.71333970502,0.00147494075402,0.0,9.17985065927,26.9147,58.8182602407,13.2473252173,33.3988,12.1721350234
 01/02  10:00:00,34.2830676422,3.71333970502,0.00529994128534,0.0,9.17985065927,19.4245,36.0927724433,0.629026797031,25.0491,10.4146456462
 01/02  11:00:00,43.0018298184,3.71333970502,1.15607864102,0.0,9.17985065927,26.9147,51.0036283253,0.00521302300187,41.7485,9.2499153023
 01/02  12:00:00,47.8792459332,3.71333970502,5.28900617979,0.0,9.17985065927,26.9147,52.1632422206,0.0,41.7485,10.4147422206
 01/02  13:00:00,47.7355563872,3.71333970502,5.81804590292,0.0,9.17985065927,26.9147,51.0003643696,0.0,41.7485,9.25186436956
 01/02  14:00:00,37.7007606678,3.71333970502,3.34310519398,0.0,9.17985065927,19.4245,42.0618353964,0.0,33.3988,8.66303539641
 01/02  15:00:00,36.1753626194,3.71333970502,1.81209425031,0.0,9.17985065927,19.4245,31.9747049187,0.0,25.0491,6.92560491867
 01/02  16:00:00,35.0128934228,3.71333970502,0.66258089765,0.0,9.17985065927,19.4245,40.3259511758,0.0,33.3988,6.9271511758
 01/02  17:00:00,43.6009795148,3.71333970502,0.79590645354,0.0,9.17985065927,26.9147,57.0258747483,0.0,50.0982,6.92767474827
 01/02  18:00:00,46.3709043908,3.71333970502,0.417150829835,0.0,9.17985065927,26.9147,59.3475496074,0.0,50.0982,9.24934960739
 01/02  19:00:00,46.5102765929,3.71333970502,0.563910530899,0.0,9.17985065927,26.9147,62.8489931322,0.0,50.0982,12.7507931322
 01/02  20:00:00,38.5951541451,3.71333970502,0.0,0.0,9.17985065927,19.4245,47.3919907527,0.0715039428041,33.3988,13.9216868099
 01/02  21:00:00,38.5406480823,3.71333970502,0.0,0.0,9.17985065927,19.4245,45.4009753938,0.421153197188,33.3988,11.5810221966
 01/02  22:00:00,38.4328119798,3.71333970502,0.0,0.0,9.17985065927,19.4245,49.167823848,11.3679746454,25.0491,12.7507492026
 01/02  23:00:00,38.3023945086,3.71333970502,0.0,0.0,9.17985065927,19.4245,47.3584954144,20.2461741609,16.6994,10.4129212535
 01/02  24:00:00,39.044319182,3.71333970502,0.0,0.0,9.17985065927,19.4245,43.3591462222,29.2404922643,8.3497,5.7689539579
 01/03  01:00:00,22.3271607934,3.71333970502,0.0,0.0,4.58992532963,8.1892,47.7684744353,39.8140281392,3.33988,4.61456629614
 01/03  02:00:00,14.7859043573,0.0,0.0,0.0,1.52997510988,7.4902,3.93193101638,0.0,3.33988,0.592051016384
 01/03  03:00:00,14.8099735891,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  04:00:00,14.8197179056,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.4805847525,0.0,0.0,0.0,1.52997510988,7.4902,3.93193695328,0.0,3.33988,0.592056953279
 01/03  06:00:00,22.9444125823,3.71333970502,0.0,0.0,4.58992532963,8.1892,56.4881070359,48.1184070359,8.3497,0.02
 01/03  07:00:00,38.6196878653,3.71333970502,0.0158641425599,0.0,9.17985065927,19.4245,65.0769880909,44.3409090167,16.6994,4.03667907427
 01/03  08:00:00,41.6388684254,3.71333970502,0.0187569662252,0.0,9.17985065927,26.9147,69.1402723223,30.7503210151,25.0491,13.3408513072
 01/03  09:00:00,41.6752401414,3.71333970502,0.0,0.0,9.17985065927,26.9147,63.1500295133,17.0007824757,33.3988,12.7504470375
 01/03  10:00:00,34.2396111673,3.71333970502,0.000993392567348,0.0,9.17985065927,19.4245,38.7243882941,3.26070719731,25.0491,10.4145810968
 01/03  11:00:00,41.7822121475,3.71333970502,0.00817522670173,0.0,9.17985065927,26.9147,50.9983708227,0.0,41.7485,9.24987082268
 01/03  12:00:00,43.2944540088,3.71333970502,0.754993338117,0.0,9.17985065927,26.9147,52.1623847875,0.0,41.7485,10.4138847875
 01/03  13:00:00,43.9799561941,3.71333970502,2.0957074115,0.0,9.17985065927,26.9147,50.9994457999,0.0,41.7485,9.25094579987
 01/03  14:00:00,35.1716300929,3.71333970502,0.820551407283,0.0,9.17985065927,19.4245,42.062658614,0.0,33.3988,8.66385861396
 01/03  15:00:00,34.3675537542,3.71333970502,0.0217735302525,0.0,9.17985065927,19.4245,31.9754264488,0.0,25.0491,6.92632644884
 01/03  16:00:00,34.3379338284,3.71333970502,0.0,0.0,9.17985065927,19.4245,40.3362372845,0.010150145521,33.3988,6.92728713898
 01/03  17:00:00,42.9334182365,3.71333970502,0.14680377635,0.0,9.17985065927,26.9147,57.0254675003,0.0,50.0982,6.9272675003
 01/03  18:00:00,45.972669551,3.71333970502,0.0335205822209,0.0,9.17985065927,26.9147,59.3688105731,0.0214453711081,50.0982,9.24916520202
 01/03  19:00:00,45.9316072578,3.71333970502,0.00449401327155,0.0,9.17985065927,26.9147,62.8490890547,0.0,50.0982,12.7508890547
 01/03  20:00:00,38.4023185504,3.71333970502,0.00202721995296,0.0,9.17985065927,19.4245,50.6522856042,3.33182212354,33.3988,13.9216634807
 01/03  21:00:00,38.371817758,3.71333970502,0.0,0.0,9.17985065927,19.4245,53.9320258378,8.9521012538,33.3988,11.581124584
 01/03  22:00:00,38.3206084129,3.71333970502,0.0,0.0,9.17985065927,19.4245,56.0333065251,18.2338866519,25.0491,12.7503198732
 01/03  23:00:00,38.3088926968,3.71333970502,0.0,0.0,9.17985065927,19.4245,50.0518455001,22.9404410121,16.6994,10.4120044879
 01/03  24:00:00,39.0600655179,3.71333970502,0.0,0.0,9.17985065927,19.4245,42.4825732273,28.3637362949,8.3497,5.76913693239
 01/04  01:00:00,22.3475138977,3.71333970502,0.0,0.0,4.58992532963,8.1892,44.6148385742,36.660555989,3.33988,4.61440258515
 01/04  02:00:00,14.8118355563,0.0,0.0,0.0,1.52997510988,7.4902,3.93195061768,0.0,3.33988,0.592070617681
 01/04  03:00:00,14.8403652038,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.8557998928,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  05:00:00,15.0128382918,0.0,0.0,0.0,1.52997510988,7.4902,3.93195652338,0.0,3.33988,0.592076523381
 01/04  06:00:00,22.4823110519,3.71333970502,0.0,0.0,4.58992532963,8.1892,43.0511149319,34.6814149319,8.3497,0.02
 01/04  07:00:00,38.4469558979,3.71333970502,0.0193501547354,0.0,9.17985065927,19.4245,50.7786735906,30.0431935407,16.6994,4.03608004991
