Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,844.523140985,94.6712049131,478.916426075,0.0,34.9616554283,113.312780494,521.578114946,507.207899722,5.66466996096,8.70554526319
 01/01  02:00:00,852.354008224,94.6712049131,491.150433232,0.0,34.9616554283,113.312780494,535.84945014,512.793316595,5.66466996096,17.3914635835
 01/01  03:00:00,868.818403434,94.6712049131,490.386035173,0.0,34.9616554283,113.312780494,529.890165246,515.519701889,5.66466996096,8.70579339626
 01/01  04:00:00,887.780549359,94.6712049131,479.912306125,0.0,34.9616554283,113.312780494,539.546179173,516.489692301,5.66466996096,17.3918169108
 01/01  05:00:00,902.732518241,94.6712049131,460.373881277,0.0,44.4937663224,113.312780494,520.235208416,505.864582984,5.66466996096,8.70595547108
 01/01  06:00:00,910.427078516,94.6712049131,444.389713822,0.0,44.4937663224,113.312780494,536.312624308,504.758827406,14.1616749024,17.392122
 01/01  07:00:00,985.761207354,94.6712049131,441.518746831,0.0,54.0258772165,176.889270242,478.035976657,441.006515625,28.3233498048,8.70611122738
 01/01  08:00:00,976.177894795,94.6712049131,443.015885273,0.0,54.0258772165,184.38654557,489.693557709,429.816110072,42.4850247072,17.3924229301
 01/01  09:00:00,1039.25304482,94.6712049131,432.233588429,0.0,65.1572554096,220.04316451,467.950458856,393.843408085,56.6466996096,17.4603511617
 01/01  10:00:00,1015.40871585,94.6712049131,423.326729982,0.0,65.1572554096,212.545889182,433.526605812,373.50591555,42.4850247072,17.5356655546
 01/01  11:00:00,1014.86313616,94.6712049131,420.509268247,0.0,65.1572554096,220.04316451,459.815852717,362.611045087,70.808374512,26.3964331182
 01/01  12:00:00,1014.66599225,94.6712049131,419.268848176,0.0,65.1572554096,220.04316451,444.893842481,347.686875083,70.808374512,26.3985928857
 01/01  13:00:00,1017.90538125,94.6712049131,416.339834498,0.0,65.1572554096,220.04316451,435.455822642,338.247874712,70.808374512,26.3995734186
 01/01  14:00:00,1015.48190936,94.6712049131,415.577511104,0.0,65.1572554096,212.545889182,410.921225551,327.87595833,56.6466996096,26.3985676122
 01/01  15:00:00,1014.1295342,94.6712049131,419.711571726,0.0,65.1572554096,212.545889182,387.928409066,319.0458141,42.4850247072,26.3975702586
 01/01  16:00:00,1012.57834412,94.6712049131,423.490660678,0.0,65.1572554096,212.545889182,404.721189028,321.677913419,56.6466996096,26.3965759993
 01/01  17:00:00,997.107487156,94.6712049131,432.545671487,0.0,65.1572554096,220.04316451,452.601213097,341.235694632,84.9700494144,26.3954690511
 01/01  18:00:00,969.885400352,94.6712049131,442.144784239,0.0,54.0258772165,184.38654557,473.024452082,370.52110952,84.9700494144,17.5332931477
 01/01  19:00:00,952.779113871,94.6712049131,462.62778289,0.0,44.4937663224,163.454314868,517.798164208,415.436723978,84.9700494144,17.3913908161
 01/01  20:00:00,946.886738154,94.6712049131,479.513473733,0.0,44.4937663224,155.95703954,492.707798991,427.353962785,56.6466996096,8.70713659584
 01/01  21:00:00,905.070867779,94.6712049131,476.259799689,0.0,44.4937663224,124.558693486,540.675294252,466.636871272,56.6466996096,17.3917233701
 01/01  22:00:00,897.553662323,94.6712049131,474.93925062,0.0,44.4937663224,124.558693486,526.138540286,474.946215467,42.4850247072,8.70730011173
 01/01  23:00:00,885.654471979,94.6712049131,475.195862752,0.0,34.9616554283,124.558693486,540.42316069,494.707791207,28.3233498048,17.392019678
 01/01  24:00:00,884.661957716,94.6712049131,473.674140729,0.0,34.9616554283,124.558693486,526.8790312,504.012534089,14.1616749024,8.70482220843
 01/02  01:00:00,879.680677748,94.6712049131,470.850696732,0.0,46.0930336215,113.312780494,531.192973524,508.134450835,5.66466996096,17.3938527274
 01/02  02:00:00,876.425482413,94.6712049131,468.699217638,0.0,46.0930336215,113.312780494,528.269671604,513.899991205,5.66466996096,8.70501043765
 01/02  03:00:00,872.980946313,94.6712049131,465.373957337,0.0,46.0930336215,113.312780494,542.69848043,519.641034882,5.66466996096,17.3927755872
 01/02  04:00:00,869.51886916,94.6712049131,460.570296107,0.0,46.0930336215,113.312780494,539.521306278,525.151461589,5.66466996096,8.70517472752
 01/02  05:00:00,958.547320181,94.6712049131,461.059215827,0.0,100.150657288,148.969399434,517.697964113,494.641221315,5.66466996096,17.3920728372
 01/02  06:00:00,958.884945787,94.6712049131,457.573015245,0.0,100.150657288,149.894399434,1026.28824407,1003.42124079,14.1616749024,8.7053283756
 01/02  07:00:00,1193.88552797,94.6712049131,458.331414099,0.0,176.471037341,302.612436532,671.306993623,625.590181422,28.3233498048,17.3934623968
 01/02  08:00:00,1295.49383717,94.6712049131,463.526547467,0.0,243.2593065,310.10971186,609.558060412,549.527962983,42.4850247072,17.5450727221
 01/02  09:00:00,1331.37181104,94.6791762872,470.686342823,0.0,243.2593065,310.10971186,592.489127726,509.413211932,56.6466996096,26.4292161849
 01/02  10:00:00,1356.20566134,94.7450662688,453.904167183,0.0,243.2593065,302.612436532,545.248790351,467.400759507,42.4850247072,35.3630061369
 01/02  11:00:00,1348.8282471,94.8307503282,419.669034956,0.0,243.2593065,310.10971186,528.24691784,421.890819173,70.808374512,35.5477241546
 01/02  12:00:00,1353.23782235,94.9080138266,412.106842115,0.0,243.2593065,310.10971186,497.865744007,391.438856748,70.808374512,35.6185127474
 01/02  13:00:00,1325.52989315,95.1436520859,416.894415526,0.0,243.2593065,310.10971186,485.089810285,378.838619133,70.808374512,35.4428166408
 01/02  14:00:00,1361.22013486,95.6765903953,421.407725231,0.0,243.2593065,302.612436532,458.920588898,366.654076634,56.6466996096,35.6198126546
 01/02  15:00:00,1350.12309947,96.1458916799,422.262983795,0.0,243.2593065,302.612436532,431.845231695,349.612785178,42.4850247072,39.7474218101
 01/02  16:00:00,1353.35148087,96.5169560226,425.443092874,0.0,243.2593065,302.612436532,430.531001746,342.567112549,56.6466996096,31.3171895866
 01/02  17:00:00,1367.68506935,96.7526610235,437.635871246,0.0,243.2593065,310.10971186,476.914075133,356.633204078,84.9700494144,35.3108216403
 01/02  18:00:00,1385.60616139,96.8411113069,471.116602074,0.0,243.2593065,310.10971186,478.893687452,376.428567522,84.9700494144,17.4950705161
 01/02  19:00:00,1127.27086934,94.6712049131,485.480923185,0.0,166.938926447,199.110933808,458.815892423,356.407394519,84.9700494144,17.4384484896
 01/02  20:00:00,1125.47713394,94.6712049131,491.812830138,0.0,166.938926447,191.61365848,439.392943284,365.310276914,56.6466996096,17.4359667607
 01/02  21:00:00,989.869897382,94.6712049131,488.533137111,0.0,100.150657288,124.558693486,478.282740652,412.905751703,56.6466996096,8.73028933942
 01/02  22:00:00,944.104996648,94.6712049131,482.931195968,0.0,100.150657288,124.558693486,481.113220985,421.231012344,42.4850247072,17.3971839339
 01/02  23:00:00,872.828761339,94.6712049131,478.864533544,0.0,46.0930336215,124.558693486,478.299947186,441.270406672,28.3233498048,8.70619070841
