Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,228.045377044,30.6344162035,104.114624717,0.0,34.4311606118,33.1021868926,149.300041925,37.627842535,3.33212,108.34007939
 01/01  02:00:00,208.699529271,30.6344162035,84.8913797304,0.0,34.4311606118,33.1021868926,98.1258704455,14.2230761457,3.33212,80.5706742997
 01/01  03:00:00,182.042477093,30.6344162035,75.7880467822,0.0,19.466279405,30.610668775,89.9842734847,6.07993803015,3.33212,80.5722154545
 01/01  04:00:00,178.797895282,30.6344162035,72.5758267666,0.0,19.466279405,30.610668775,85.3094262466,1.4026259251,3.33212,80.5746803215
 01/01  05:00:00,206.239767484,32.9641256955,90.3152964588,0.0,19.466279405,30.610668775,111.579068162,0.0214417170395,3.33212,108.225506445
 01/01  06:00:00,184.619558867,30.6344162035,59.4554547555,0.0,19.466279405,30.610668775,146.053321401,0.0,8.3303,137.723021401
 01/01  07:00:00,309.336827437,34.5172653568,107.423336005,0.0,42.6918050922,54.3732441037,205.203849491,0.0587104323594,16.6606,188.484539058
 01/01  08:00:00,359.758507247,35.7099960051,119.952372313,0.0,49.3960418185,88.5934452969,348.944310268,4.31725848461,24.9909,319.636151783
 01/01  09:00:00,387.90727593,35.4802828242,115.851542841,0.0,57.6566862989,112.030105488,489.119477157,2.09957285808,33.3212,453.698704299
 01/01  10:00:00,332.158927144,35.9152786605,115.16396568,0.0,50.9524495726,81.1684271793,399.488987949,0.785239428018,66.8089,331.894848521
 01/01  11:00:00,289.146703255,36.1857112584,116.476039893,0.0,42.6918050922,68.9656133826,335.138793027,0.830257440659,83.4695,250.839035587
 01/01  12:00:00,285.199427733,36.2094415514,116.074127063,0.0,38.286128036,68.9656133826,286.013021865,1.0706866772,83.4695,201.472835188
 01/01  13:00:00,284.162268188,36.3052157401,115.537245127,0.0,38.286128036,68.9656133826,230.592365593,1.08213879131,83.4695,146.040726802
 01/01  14:00:00,265.309615253,36.171147395,115.732749494,0.0,31.5818913096,56.727595265,222.799912707,1.63778632999,75.1392,146.022926377
 01/01  15:00:00,264.862402866,36.1655338842,115.594837245,0.0,31.5818913096,56.727595265,214.202709648,1.71944690682,66.8089,145.674362741
 01/01  16:00:00,265.423433953,36.1728090972,116.500224161,0.0,31.5818913096,56.727595265,217.625869536,2.14007549574,75.1392,140.34659404
 01/01  17:00:00,301.855094352,35.9247195077,119.101011684,0.0,31.5818913096,61.661095265,208.266172966,2.8988467886,91.7998,113.567526177
 01/01  18:00:00,340.864407276,35.4002420459,120.352851844,0.0,31.5818913096,70.9729253606,192.33632435,5.86918383265,49.9818,136.485340518
 01/01  19:00:00,402.074510824,35.4300801422,120.422225859,0.0,80.3315023541,83.7685254822,219.590121447,5.33641591328,49.9818,164.271905534
 01/01  20:00:00,405.067998774,35.3487750113,120.131083379,0.0,102.000620287,77.6748002752,262.1763386,13.036152847,33.3212,215.818985753
 01/01  21:00:00,424.723456188,35.3174615097,119.576189734,0.0,108.704857014,91.4735406516,275.030017558,26.4619020547,33.3212,215.246915504
 01/01  22:00:00,395.987620451,35.4362953526,118.974475635,0.0,95.2963835608,89.1510273009,271.040744129,30.2259080145,24.9909,215.823936115
 01/01  23:00:00,343.650783038,35.4117267625,119.973418095,0.0,80.3315023541,63.3799339444,372.835719427,37.4962844948,16.6606,318.678834932
 01/01  24:00:00,239.635983033,35.3669805942,80.6608720259,0.0,42.6918050922,48.4199368926,245.825047069,55.1722278698,8.3303,182.3225192
 01/02  01:00:00,213.550564404,30.6344162035,101.04352711,0.0,25.5240853573,30.610668775,155.298293337,45.8098034414,3.33212,106.156369896
 01/02  02:00:00,183.760862844,30.6344162035,78.6803721845,0.0,19.418418834,29.3649097162,122.207363927,38.3883798316,3.33212,80.4868640951
 01/02  03:00:00,166.639054701,31.4109860341,68.7453840378,0.0,12.7620426787,28.1191506574,116.514412863,32.6938244884,3.33212,80.4884683749
 01/02  04:00:00,161.328367915,32.1875558648,62.7083906641,0.0,12.7620426787,28.1191506574,112.226733131,28.3984700395,3.33212,80.4961430912
 01/02  05:00:00,166.511580943,32.1875558648,61.3272681964,0.0,12.7620426787,28.1191506574,136.658051123,25.0922240279,3.33212,108.233707096
 01/02  06:00:00,199.760876345,31.4109860341,67.8306887471,0.0,25.5240853573,30.610668775,218.205134648,22.587943363,8.3303,187.286891285
 01/02  07:00:00,335.753987789,34.3619513907,102.940470809,0.0,51.0481707146,78.1489452969,356.959372391,20.5564546456,16.6606,319.742317745
 01/02  08:00:00,392.731789905,35.3308899467,118.541272643,0.0,64.3609230253,109.708623606,473.271136783,24.9840768829,24.9909,423.2961599
 01/02  09:00:00,348.414503671,35.2989906364,116.575291895,0.0,51.0481707146,80.7689615957,384.093743745,20.6102393276,33.3212,330.162304418
 01/02  10:00:00,322.042734225,35.8789826312,116.47325914,0.0,51.0481707146,71.0224615957,318.883590274,1.13504996244,66.8089,250.939640311
 01/02  11:00:00,275.669733166,35.9713593938,117.194195213,0.0,32.1804615127,65.7244621605,285.154649617,1.08780294323,83.4695,200.597346674
 01/02  12:00:00,276.745412142,36.0439984934,116.63677268,0.0,32.1804615127,65.7244621605,230.775320521,1.06332324507,83.4695,146.242497276
 01/02  13:00:00,275.260175952,36.1469325615,116.0225933,0.0,32.1804615127,65.7244621605,230.607755275,1.08891833455,83.4695,146.04933694
 01/02  14:00:00,264.665634481,36.1530733194,115.658645118,0.0,32.1804615127,55.9779621605,222.122554037,1.11609678802,75.1392,145.867257249
 01/02  15:00:00,264.499088893,36.147546393,115.580942242,0.0,32.1804615127,55.9779621605,212.768469865,1.15981257936,66.8089,144.799757286
 01/02  16:00:00,265.301853467,36.1591211828,116.601620248,0.0,32.1804615127,55.9779621605,216.436166702,1.34256654491,75.1392,139.954400158
 01/02  17:00:00,298.399430568,35.9197435853,118.675008206,0.0,32.1804615127,60.9114621605,203.930153874,0.940405627795,91.7998,111.189948247
 01/02  18:00:00,347.854185303,35.3940428919,120.31112861,0.0,32.1804615127,77.5397301883,218.717219981,2.60308518618,49.9818,166.132334795
 01/02  19:00:00,400.350186872,35.4320727087,119.082774828,0.0,77.122965704,86.2600435998,346.749622298,3.246489669,49.9818,293.521332629
 01/02  20:00:00,408.061332059,35.3883336514,119.407091904,0.0,102.647051061,80.1663183927,256.078827821,6.31558144939,33.3212,216.442046372
 01/02  21:00:00,433.446999205,35.3750453421,119.902167961,0.0,115.40909374,92.7192997104,270.753956388,21.5166339345,33.3212,215.916122453
 01/02  22:00:00,409.391456426,35.4388254279,119.711596184,0.0,102.647051061,94.1340635361,386.3497211,40.9035344432,24.9909,320.455286657
 01/02  23:00:00,336.4417199,35.5032789462,113.47170154,0.0,77.122965704,65.871452062,305.441853022,44.3726065253,16.6606,244.408646497
 01/02  24:00:00,241.435801442,35.4450003153,86.5176160443,0.0,38.286128036,48.4199368926,236.682683295,96.8121673453,8.3303,131.540215949
 01/03  01:00:00,185.844465606,30.6344162035,73.4489923772,0.0,25.5240853573,30.610668775,146.027531217,34.98286765,3.33212,107.712543567
 01/03  02:00:00,170.035808738,30.6344162035,65.0475778041,0.0,19.418418834,29.3649097162,114.196537036,30.3727795287,3.33212,80.491637507
 01/03  03:00:00,157.097153276,30.6344162035,60.0603518946,0.0,12.7620426787,28.1191506574,110.585020877,26.7596978281,3.33212,80.4932030489
 01/03  04:00:00,155.456680892,32.1875558648,56.8928461397,0.0,12.7620426787,28.1191506574,107.800278207,23.9702920423,3.33212,80.4978661651
 01/03  05:00:00,161.605895589,31.4109860341,56.6251211264,0.0,12.7620426787,28.1191506574,133.343362936,21.7761772532,3.33212,108.235065683
 01/03  06:00:00,198.169224309,32.9641256955,64.0047886617,0.0,25.5240853573,30.610668775,215.718746129,20.0658625502,8.3303,187.322583579
 01/03  07:00:00,327.387918526,33.4300675939,94.8736577193,0.0,51.0481707146,78.1489452969,355.253567374,18.7698483296,16.6606,319.823119045
 01/03  08:00:00,392.233130619,35.2975934487,116.543110624,0.0,64.3609230253,109.708623606,528.566063635,79.0403179129,24.9909,424.534845722
 01/03  09:00:00,350.697162186,35.3148363891,118.133582441,0.0,51.0481707146,80.7689615957,387.33852517,24.676114258,33.3212,329.341210912
 01/03  10:00:00,319.597038772,35.8782963167,114.655746482,0.0,51.0481707146,71.0224615957,324.128484298,4.2208419272,66.8089,253.098742371
 01/03  11:00:00,273.285073554,35.9684977121,116.150663314,0.0,32.1804615127,65.7244621605,282.852272918,0.730106446151,83.4695,198.652666472
 01/03  12:00:00,274.494755342,36.0289003277,115.922415016,0.0,32.1804615127,65.7244621605,230.519956171,0.792684107907,83.4695,146.257772063
 01/03  13:00:00,274.073684144,36.1277028125,114.597823185,0.0,32.1804615127,65.7244621605,230.352616884,0.829007651516,83.4695,146.054109232
 01/03  14:00:00,265.01973818,36.1455323315,115.481085738,0.0,32.1804615127,55.9779621605,221.883137146,0.873514950996,75.1392,145.870422195
 01/03  15:00:00,265.174608453,36.1354979508,115.780220333,0.0,32.1804615127,55.9779621605,213.473047434,0.959773213785,66.8089,145.70437422
 01/03  16:00:00,266.46151234,36.1469160806,117.910411285,0.0,32.1804615127,55.9779621605,216.455869144,1.20908877911,75.1392,140.107580365
 01/03  17:00:00,298.498142122,35.9024237344,119.163659153,0.0,32.1804615127,60.9114621605,206.406107798,0.762392325442,91.7998,113.843915473
 01/03  18:00:00,347.174394173,35.3818866746,119.720114377,0.0,32.1804615127,77.5397301883,216.044299772,3.76798307849,49.9818,162.294516694
 01/03  19:00:00,401.154514791,35.4189447682,119.932305177,0.0,77.122965704,86.2600435998,354.010845634,10.4230952647,49.9818,293.60595037
