Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,74.7615533259,19.5127666427,15.3784074073,0.0,4.12243109448,15.9888894789,85.7365668474,82.7448364296,2.97173041782,0.02
 01/02  02:00:00,73.2495216697,17.5589600564,13.8755629913,0.0,4.12243109448,15.9888894789,76.2982891415,73.3065587237,2.97173041782,0.02
 01/02  03:00:00,83.3971283473,22.4434765223,16.8570999198,0.0625913689022,4.12243109448,15.9888894789,96.0478664405,93.0561360227,2.97173041782,0.02
 01/02  04:00:00,73.3967519622,18.1526917985,12.9846370242,0.142984297843,4.12243109448,15.9888894789,78.2729832039,75.2812527861,2.97173041782,0.02
 01/02  05:00:00,108.335963183,26.8002314396,18.7865887625,0.117788031897,12.3672932834,24.9413748627,109.648745711,104.675861681,4.9528840297,0.02
 01/02  06:00:00,126.87795156,27.85526775,21.0943792759,14.8457340901,12.3672932834,24.9413748627,178.053002696,173.080118666,4.9528840297,0.02
 01/02  07:00:00,183.556525863,28.3082194456,22.9486454754,10.2473953422,24.7345865669,70.7195625826,143.453620396,133.527852336,9.90576805939,0.02
 01/02  08:00:00,193.966718276,28.6371721116,23.7509219688,6.16383767203,37.1018798503,92.3937384068,124.004551785,114.078783725,9.90576805939,0.02
 01/02  09:00:00,201.611740184,28.7581249244,26.3214822797,4.23593988345,37.1018798503,104.434947198,117.699076774,107.773308715,9.90576805939,0.02
 01/02  10:00:00,224.968457914,28.9918418679,39.3624865297,2.2760624563,37.1018798503,116.476155989,119.885893632,101.356112502,9.90576805939,8.62401307024
 01/02  11:00:00,242.951727696,29.5189580534,54.14394202,1.03807574687,37.1018798503,116.476155989,104.056464087,94.1306960274,9.90576805939,0.02
 01/02  12:00:00,256.430039559,30.1432959681,62.7529673426,0.635721847528,37.1018798503,116.476155989,97.8704978464,87.944729787,9.90576805939,0.02
 01/02  13:00:00,247.97300378,30.6775246752,61.4957379719,0.316400937629,37.1018798503,104.434947198,102.430426162,83.8992019418,9.90576805939,8.62545616042
 01/02  14:00:00,254.654396682,31.0416335195,57.9941775499,0.128234142302,37.1018798503,116.476155989,91.8156073431,81.8898392837,9.90576805939,0.02
 01/02  15:00:00,249.928993265,31.3016699717,57.4011328855,0.0266824986471,37.1018798503,116.476155989,99.4388911584,80.9051033501,9.90576805939,8.6280197489
 01/02  16:00:00,248.531655338,31.2574553797,56.4100668761,0.00915293299671,37.1018798503,116.476155989,90.7833350622,80.8575670028,9.90576805939,0.02
 01/02  17:00:00,244.431406761,30.8198192285,52.324180441,0.0592797685762,37.1018798503,116.476155989,92.9093815269,82.9836134675,9.90576805939,0.02
 01/02  18:00:00,239.023673737,30.2499790451,40.1682984866,0.136774524886,37.1018798503,116.476155989,96.332444827,86.4066767676,9.90576805939,0.02
 01/02  19:00:00,143.423610542,27.0311271171,29.3434846489,0.0,24.7345865669,47.5788473902,79.7612708155,66.200784094,4.9528840297,8.60760269189
 01/02  20:00:00,142.743587323,27.5259035689,28.1686997422,0.0,24.7345865669,47.5788473902,77.1836892967,72.210805267,4.9528840297,0.02
 01/02  21:00:00,115.434493519,26.1405295039,23.4605156704,0.0,12.3672932834,38.6892022431,91.5916739705,88.5999435527,2.97173041782,0.02
 01/02  22:00:00,81.7079493112,14.5221534388,12.4804782064,0.0,12.3672932834,27.0668015668,54.7927897021,51.8010592843,2.97173041782,0.02
 01/02  23:00:00,71.1695711988,18.8794527844,16.1982128637,0.0,4.12243109448,15.9888894789,82.2929020679,79.30117165,2.97173041782,0.02
 01/02  24:00:00,67.7788330847,18.271438147,13.3412801084,0.0,4.12243109448,15.9888894789,75.1797834367,72.1880530188,2.97173041782,0.02
 01/03  01:00:00,73.6457891469,22.0476553608,15.9625701923,0.0,4.12243109448,15.9888894789,94.5740289712,91.5822985534,2.97173041782,0.02
 01/03  02:00:00,66.7493536545,17.5589600564,12.7928925964,0.000632778230741,4.12243109448,15.9888894789,77.0150277055,74.0232972877,2.97173041782,0.02
 01/03  03:00:00,74.6997802111,22.4434765223,15.4692481085,0.0836099833581,4.12243109448,15.9888894789,96.9954371498,94.003706732,2.97173041782,0.02
 01/03  04:00:00,68.303257607,18.1526917985,12.3757026338,0.173781777637,4.12243109448,15.9888894789,78.9303755245,75.9386451067,2.97173041782,0.02
 01/03  05:00:00,100.090214518,26.8002314396,17.7527665827,0.143690568195,12.3672932834,24.9413748627,110.451863519,105.478979489,4.9528840297,0.02
 01/03  06:00:00,120.677035854,27.8500717538,20.5443167433,15.6879606616,12.3672932834,24.9413748627,179.353457953,174.380573924,4.9528840297,0.02
