Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,55.5772324067,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  02:00:00,55.5913633796,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  03:00:00,55.6013979505,0.0,0.0,0.0,15.863942322,29.242365,6.08814234417,0.0,3.20568,2.88246234417
 01/01  04:00:00,55.6126899713,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  05:00:00,55.8709586003,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  06:00:00,55.8714975909,0.0,0.0,0.0,15.863942322,29.242365,6.08811258133,0.0,3.20568,2.88243258133
 01/01  07:00:00,55.8779909533,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  08:00:00,47.2256360087,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  09:00:00,47.2491935284,0.0,0.0,0.0,15.863942322,29.242365,6.08942207705,0.0,3.20568,2.88374207705
 01/01  10:00:00,47.2977506416,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  11:00:00,47.3163820981,0.0,0.0,0.0,15.863942322,29.242365,6.08931621488,0.0,3.20568,2.88363621488
 01/01  12:00:00,48.001874602,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  13:00:00,47.3303011373,0.0,0.0,0.0,15.863942322,29.242365,6.08941071571,0.0,3.20568,2.88373071571
 01/01  14:00:00,47.3749002992,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  15:00:00,51.867334179,0.475348901872,4.01372773641,0.0,15.863942322,29.242365,6.08815270172,0.0,3.20568,2.88247270172
 01/01  16:00:00,51.6851283586,0.496454334082,3.83035269484,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,50.0917162544,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.7828544082,0.0,0.0,0.0,15.863942322,29.242365,6.08806887247,0.0,3.20568,2.88238887247
 01/01  19:00:00,55.7502078865,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.9463718727,0.0,0.0,0.0,15.863942322,29.242365,6.08803925789,0.0,3.20568,2.88235925789
 01/01  21:00:00,55.9036255291,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  22:00:00,55.767970305,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  23:00:00,55.5936120279,0.0,0.0,0.0,15.863942322,29.242365,6.08814359018,0.0,3.20568,2.88246359018
 01/01  24:00:00,56.2624888755,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  01:00:00,55.5608552044,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  02:00:00,55.5496353761,0.0,0.0,0.0,15.863942322,29.242365,6.08931799341,0.0,3.20568,2.88363799341
 01/02  03:00:00,55.5364856483,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  04:00:00,55.5251570458,0.0,0.0,0.0,15.863942322,29.242365,6.0894136964,0.0,3.20568,2.8837336964
 01/02  05:00:00,55.730323594,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/02  06:00:00,55.7064116505,0.0,0.0,0.0,15.863942322,29.242365,6.0895092612,0.0,3.20568,2.8838292612
 01/02  07:00:00,62.8281146631,6.43912008347,0.0,0.0,15.863942322,29.818365,101.07336979,94.9839653788,3.20568,2.88372441138
 01/02  08:00:00,118.961126851,6.43912008347,0.00111001243787,0.0,80.527626,29.818365,76.5225695795,73.2968895795,3.20568,0.02
 01/02  09:00:00,165.04575488,6.43912008347,0.792790576585,0.0,80.527626,75.0917375,65.470701309,32.7579726037,24.0426,8.67012870538
