Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.6112277983,2.09486434854,0.0,0.0,1.85583932782,5.577,11.3575551551,6.61763438168,3.0011,1.73882077341
 01/01  02:00:00,9.70360569631,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.74517800392,0.0,0.0,0.0,0.618613109274,5.0,3.59317850827,0.0,3.0011,0.592078508271
 01/01  04:00:00,9.76547548382,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.94438732292,0.0,0.0,0.0,0.618613109274,5.0,3.59318440144,0.0,3.0011,0.592084401437
 01/01  06:00:00,13.8495148232,2.09486434854,0.0,0.0,1.85583932782,5.577,5.37606087826,0.854410878264,4.50165,0.02
 01/01  07:00:00,28.3225399267,2.09486434854,0.0,0.0,3.71167865564,18.077,14.6700563382,0.0,13.50495,1.16510633816
 01/01  08:00:00,25.7493815023,2.09486434854,0.0,0.0,3.71167865564,18.077,22.7454889126,0.0,21.0077,1.73778891265
 01/01  09:00:00,20.7726866305,2.09486434854,0.0,0.0,3.71167865564,13.077,16.1707102995,0.0,15.0055,1.16521029949
 01/01  10:00:00,20.8421590685,2.09486434854,0.0165360515354,0.0,3.71167865564,13.077,16.1707792424,0.0,15.0055,1.16527924243
 01/01  11:00:00,26.4779065648,2.09486434854,0.609403048501,0.0,3.71167865564,18.077,36.4753001527,0.0,33.0121,3.46320015274
 01/01  12:00:00,28.489370462,2.09486434854,1.48666675166,0.0,3.71167865564,18.077,44.5518418682,0.0,40.51485,4.03699186816
