Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,41.5726650724,5.77932279456,5.22734184859,0.0,12.925468867,10.100111941,6.84544515852,6.82544515852,0.0,0.02
 01/01  02:00:00,41.1389866601,5.72548767711,4.84859576294,0.0,12.925468867,10.100111941,11.1187217418,5.36295739428,0.0,5.75576434757
 01/01  03:00:00,35.7065706489,5.62351427276,4.13719705844,0.0,8.34152022915,10.0650221343,4.29997034114,4.27997034114,0.0,0.02
 01/01  04:00:00,35.3514958783,5.58015933882,3.82546899614,0.0,8.34152022915,10.0650221343,8.83835010804,3.08294859466,0.0,5.75540151338
 01/01  05:00:00,36.8153609018,5.56101697826,3.70187925568,0.0,8.34152022915,11.6705166398,1.74693085403,1.72693085403,0.0,0.02
 01/01  06:00:00,40.965902493,5.5525846208,3.70255723786,0.0,8.80141237637,15.3678112995,6.56318941585,0.797173995508,0.0,5.76601542034
 01/01  07:00:00,62.1069108395,5.6978023285,4.7217689573,0.0,18.5082010057,25.6353820695,6.59016860247,0.814117206847,0.0,5.77605139563
 01/01  08:00:00,73.7525756931,6.04627454736,7.10024561095,0.0,19.4926561212,41.1001056674,12.20120748,0.618370250728,0.0,11.5828372293
 01/01  09:00:00,101.986493242,6.56014708875,11.0629570094,0.0,26.3286599382,57.9988325916,31.0873777932,0.0,0.0,31.0873777932
 01/01  10:00:00,88.8925099989,6.4927830958,13.3096910229,0.0,26.2443270014,42.8153538416,45.701079032,0.0,18.025,27.676079032
 01/01  11:00:00,64.4655642275,6.24339008223,13.0067136629,0.0,21.7447113004,23.4437158914,41.418980309,0.0,18.025,23.393980309
 01/01  12:00:00,64.214658157,6.40999610647,14.9912144043,0.0,19.3449162599,23.4437158914,35.544019823,0.0,18.025,17.519019823
 01/01  13:00:00,66.1428417251,6.52895778639,16.6582442281,0.0,19.190480192,23.7425572507,35.5079349215,0.0,18.025,17.4829349215
 01/01  14:00:00,67.4781157103,6.63307690452,17.8632807739,0.0,19.260583323,23.698576057,41.3312533562,0.0,18.025,23.3062533562
 01/01  15:00:00,66.8113642984,6.64601006879,17.1835944916,0.0,19.260583323,23.698576057,35.5116150674,0.0,18.025,17.4866150674
 01/01  16:00:00,64.9876675562,6.56576433721,15.7300914556,0.0,19.260583323,23.4086260847,35.5071308518,0.0,18.025,17.4821308518
 01/01  17:00:00,67.3330265068,6.37156099608,11.9343433649,0.0,19.260583323,27.8781056672,23.7858030785,0.0,18.025,5.76080307845
 01/01  18:00:00,79.7362103175,6.36858160044,10.0660431699,0.0,18.1807569449,37.5792895564,5.76592942252,0.0,0.0,5.76592942252
 01/01  19:00:00,94.0432183774,6.50672168922,10.3413440905,0.0,32.6059821062,37.0465235296,5.91508459462,0.144484806505,0.0,5.77059978811
 01/01  20:00:00,94.5242118986,6.56194892484,10.536044669,0.0,36.8143715336,33.066984531,7.16839151707,1.38729035878,0.0,5.78110115828
 01/01  21:00:00,100.707945658,6.68272247662,11.239503397,0.0,36.43363367,38.8072253906,8.79041627663,3.01014955896,0.0,5.78026671767
 01/01  22:00:00,98.1893556171,6.66639422867,11.0939464785,0.0,36.0963922311,36.7877557581,15.5752038071,4.03295693306,0.0,11.5422468741
 01/01  23:00:00,74.0446756611,6.28320039647,8.65262551827,0.0,30.9507766546,20.6087787026,16.6061356746,5.02361470283,0.0,11.5825209718
 01/01  24:00:00,48.5960615514,5.88974775339,6.03186624088,0.0,17.4250845679,11.7056064465,12.8862431875,7.11026350333,0.0,5.77597968413
 01/02  01:00:00,39.7120629641,5.71879513645,4.74657705951,0.0,11.6412384099,10.0650221343,8.73434525231,8.71434525231,0.0,0.02
