Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,87.8750369199,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  02:00:00,90.2995690418,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  03:00:00,91.3615018668,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  04:00:00,91.2780149401,0.0,0.0,0.0,3.49369000822,6.81298672936,2.9155381959,0.0,1.75125,1.1642881959
 01/01  05:00:00,98.2198844753,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  06:00:00,96.6890144287,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  07:00:00,126.656724303,20.0366381997,0.0,0.0,6.98738001645,14.1499734587,138.346888875,133.680086626,3.5025,1.16430224893
 01/01  08:00:00,122.478846993,20.0366381997,0.0,0.0,6.98738001645,14.1499734587,144.355308261,140.832808261,3.5025,0.02
 01/01  09:00:00,160.53219747,20.0366381997,0.0,0.0,6.98738001645,14.1499734587,123.353503163,118.686657129,3.5025,1.16434603451
 01/01  10:00:00,135.842329151,20.0366381997,0.0,0.0,6.98738001645,14.1499734587,100.425805109,96.9033051088,3.5025,0.02
 01/01  11:00:00,171.852782787,20.0366381997,0.145312394436,0.0,27.9495200658,27.7759469175,75.2161919206,67.0465131378,7.005,1.16467878283
 01/01  12:00:00,203.679964033,20.0366381997,0.833068627357,0.0,27.9495200658,27.7759469175,58.3826304194,51.3576304194,7.005,0.02
 01/01  13:00:00,219.115744655,20.0366381997,3.18697855475,0.0,41.9242800987,36.8599292233,39.7607606814,29.2559221335,9.34,1.1648385479
 01/01  14:00:00,216.406491336,20.0366381997,3.59772834537,0.0,41.9242800987,36.8599292233,32.3379121286,21.8331244956,9.34,1.164787633
 01/01  15:00:00,208.898071332,20.0366381997,2.50547420846,0.0,41.9242800987,36.8599292233,35.1353368715,24.6306571737,9.34,1.16467969785
 01/01  16:00:00,202.715877638,20.0366381997,1.64767245434,0.0,41.9242800987,36.8599292233,38.8084275931,29.4484275931,9.34,0.02
 01/01  17:00:00,202.179845493,20.0366381997,0.37072687275,0.0,41.9242800987,36.8599292233,56.9125505914,46.407709833,9.34,1.16484075846
 01/01  18:00:00,181.289115477,20.0366381997,0.0,0.0,27.9495200658,27.7759469175,80.5048021348,72.3350707338,7.005,1.16473140103
 01/01  19:00:00,185.672998951,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,106.003583454,101.313583454,4.67,0.02
 01/01  20:00:00,165.253944773,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,131.532966377,125.698403437,4.67,1.16456294015
 01/01  21:00:00,155.97842856,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,144.94275931,139.108284459,4.67,1.16447485133
 01/01  22:00:00,140.776068419,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,106.475490243,101.785490243,4.67,0.02
 01/01  23:00:00,89.1880911808,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,122.485099986,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91549103945,0.0,1.75125,1.16424103945
 01/02  01:00:00,96.0424045041,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  02:00:00,87.3514879166,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  03:00:00,86.225642784,0.0,0.0,0.0,3.49369000822,9.08398230582,3.49926170001,0.0,2.335,1.16426170001
 01/02  04:00:00,85.4375838488,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  05:00:00,91.4866998071,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  06:00:00,90.5540880967,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
 01/02  07:00:00,135.512951232,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,214.81308257,208.978840976,4.67,1.16424159406
 01/02  08:00:00,132.98120979,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,203.962831878,199.272831878,4.67,0.02
 01/02  09:00:00,213.4004783,20.0366381997,0.0,0.0,34.9369000822,32.3179380704,169.430587055,160.093549237,8.1725,1.16453781766
 01/02  10:00:00,248.899216538,20.0366381997,0.00290842616155,0.0,62.886420148,41.4019203762,97.5886533674,87.0611533674,10.5075,0.02
 01/02  11:00:00,243.91122451,20.0366381997,1.28297535686,0.0,62.886420148,41.4019203762,53.093973585,41.4216244046,10.5075,1.16484918034
 01/02  12:00:00,277.40006286,20.0366381997,4.48404004803,0.0,62.886420148,41.4019203762,23.8957706213,12.223040009,10.5075,1.16523061231
 01/02  13:00:00,258.011329193,20.0366381997,3.31038121449,0.0,62.886420148,41.4019203762,25.083964376,13.4113268177,10.5075,1.16513755832
 01/02  14:00:00,249.068982249,20.0366381997,1.53906544564,0.0,62.886420148,41.4019203762,30.854370641,18.0365202225,10.5075,2.31035041848
 01/02  15:00:00,244.348476883,20.0366381997,1.47990960126,0.0,62.886420148,41.4019203762,26.5912641907,14.9188595936,10.5075,1.1649045971
 01/02  16:00:00,240.859870731,20.0366381997,1.4083372538,0.0,62.886420148,41.4019203762,24.5575965505,14.0300965505,10.5075,0.02
 01/02  17:00:00,241.947867081,20.0366381997,0.574170203748,0.0,62.886420148,41.4019203762,38.5561983535,26.8837482614,10.5075,1.16495009215
 01/02  18:00:00,249.344055691,20.0366381997,0.0,0.0,62.886420148,41.4019203762,65.9163300904,54.2439503198,10.5075,1.16487977056
 01/02  19:00:00,248.997837176,20.0366381997,0.0,0.0,41.9242800987,36.8599292233,79.370987793,68.8660808618,9.34,1.16490693123
 01/02  20:00:00,235.546804109,20.0366381997,0.0,0.0,41.9242800987,36.8599292233,94.3006496151,83.7958926312,9.34,1.16475698391
 01/02  21:00:00,206.134097221,20.0366381997,0.0,0.0,34.9369000822,32.3179380704,112.99190262,103.654758673,8.1725,1.16464394724
 01/02  22:00:00,144.648030213,20.0366381997,0.0,0.0,13.9747600329,18.6919646116,92.6816654573,87.9916654573,4.67,0.02
 01/02  23:00:00,94.182278419,0.0,0.0,0.0,3.49369000822,9.08398230582,2.355,0.0,2.335,0.02
