Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.3398288187,3.87130954136,0.00132802004702,0.0,4.58992532963,8.1892,100.089146613,89.2432065503,3.33988,7.50606006302
 01/01  02:00:00,14.691497236,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  03:00:00,14.7114558155,0.0,0.0,0.0,1.52997510988,7.4902,3.93194550102,0.0,3.33988,0.592065501017
 01/01  04:00:00,14.7181315047,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.8665640307,0.0,0.0,0.0,1.52997510988,7.4902,3.93195141485,0.0,3.33988,0.592071414853
 01/01  06:00:00,22.4895925288,3.87130954136,0.0,0.0,4.58992532963,8.1892,89.6984711286,81.3287711286,8.3497,0.02
 01/01  07:00:00,38.4497662029,3.87130954136,0.0133587359861,0.0,9.17985065927,19.4245,99.1046649783,77.7899829027,16.6994,4.61528207564
 01/01  08:00:00,42.7383601416,3.87130954136,0.0116492804056,0.0,9.17985065927,26.9147,97.2861286545,67.0475188633,25.0491,5.18950979124
 01/01  09:00:00,41.6813233965,3.87130954136,0.0,0.0,9.17985065927,26.9147,103.744407592,65.7326003216,33.3988,4.6130072703
 01/01  10:00:00,34.189853654,3.87130954136,0.0,0.0,9.17985065927,19.4245,103.414223471,73.7504021313,25.0491,4.61472133917
 01/01  11:00:00,41.6978384746,3.87130954136,0.0142538658622,0.0,9.17985065927,26.9147,126.835635257,69.9864466359,41.7485,15.1006886208
 01/01  12:00:00,42.4598426571,3.87130954136,0.0,0.0,9.17985065927,26.9147,121.782778057,64.9329011898,41.7485,15.1013768671
 01/01  13:00:00,41.7515854442,3.87130954136,0.0,0.0,9.17985065927,26.9147,110.921281266,57.0054882188,41.7485,12.1672930473
 01/01  14:00:00,34.232367608,3.87130954136,0.0,0.0,9.17985065927,19.4245,100.169503955,54.6064056203,33.3988,12.1642983345
 01/01  15:00:00,34.2330642576,3.87130954136,0.0,0.0,9.17985065927,19.4245,92.0021168444,57.7045933755,25.0491,9.24842346887
 01/01  16:00:00,34.2176679932,3.87130954136,0.0,0.0,9.17985065927,19.4245,104.754124918,62.107820054,33.3988,9.24750486417
 01/01  17:00:00,44.8138609734,3.87130954136,0.00545390663094,0.0,9.17985065927,26.9147,123.866732246,64.5190994179,50.0982,9.24943282809
 01/01  18:00:00,45.8660514776,3.87130954136,0.0,0.0,9.17985065927,26.9147,129.708052808,67.443058376,50.0982,12.1667944324
 01/01  19:00:00,45.8641422943,3.87130954136,0.0,0.0,9.17985065927,26.9147,133.216968552,68.0169363397,50.0982,15.1018322126
 01/01  20:00:00,38.5039637208,3.87130954136,0.0,0.0,9.17985065927,19.4245,120.666754804,72.1664035161,33.3988,15.101551288
 01/01  21:00:00,38.483821739,3.87130954136,0.0,0.0,9.17985065927,19.4245,121.426724033,75.8620452755,33.3988,12.1658787578
 01/01  22:00:00,38.4124836666,3.87130954136,0.0,0.0,9.17985065927,19.4245,128.313740322,88.1615782015,25.0491,15.10306212
 01/01  23:00:00,38.3034751151,3.87130954136,0.0,0.0,9.17985065927,19.4245,125.643792464,96.7771712458,16.6994,12.1672212183
 01/01  24:00:00,39.1127346188,3.87130954136,0.0,0.0,9.17985065927,19.4245,116.741041951,102.044758893,8.3497,6.34658305814
 01/02  01:00:00,22.3526219432,3.87130954136,0.0,0.0,4.58992532963,8.1892,121.635938732,111.949329226,3.33988,6.3467295063
 01/02  02:00:00,14.6375150055,0.0,0.0,0.0,1.52997510988,7.4902,3.93194726366,0.0,3.33988,0.592067263662
 01/02  03:00:00,14.6582178508,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  04:00:00,14.6703914036,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/02  05:00:00,14.8207905374,0.0,0.0,0.0,1.52997510988,7.4902,3.93195317469,0.0,3.33988,0.592073174695
 01/02  06:00:00,22.4643731698,3.87130954136,0.00556844042816,0.0,4.58992532963,8.1892,129.702592655,121.332892655,8.3497,0.02
 01/02  07:00:00,38.4246731085,3.87130954136,0.0107943827186,0.0,9.17985065927,19.4245,138.169783649,116.280963126,16.6994,5.18942052268
 01/02  08:00:00,42.714163822,3.87130954136,0.0108911301312,0.0,9.17985065927,26.9147,150.503880248,107.399388145,25.0491,18.0553921031
 01/02  09:00:00,41.6625715578,3.87130954136,0.0,0.0,9.17985065927,26.9147,152.369009955,102.68511954,33.3988,16.2850904151
 01/02  10:00:00,34.178989661,3.87130954136,0.0,0.0,9.17985065927,19.4245,136.074245311,97.1027776136,25.0491,13.922367697
 01/02  11:00:00,41.6700143997,3.87130954136,0.0023154209902,0.0,9.17985065927,26.9147,147.925082499,94.0100280152,41.7485,12.1665544837
 01/02  12:00:00,42.44031882,3.87130954136,0.0,0.0,9.17985065927,26.9147,138.417383683,82.7475525821,41.7485,13.9213311007
 01/02  13:00:00,41.7229620074,3.87130954136,0.0,0.0,9.17985065927,26.9147,123.620266286,69.7057889112,41.7485,12.1659773744
 01/02  14:00:00,34.2039030135,3.87130954136,0.0,0.0,9.17985065927,19.4245,111.942803751,68.1278093749,33.3988,10.4161943758
 01/02  15:00:00,34.2033110727,3.87130954136,0.0,0.0,9.17985065927,19.4245,107.798094965,73.4984676207,25.0491,9.25052734391
 01/02  16:00:00,34.189935802,3.87130954136,0.0,0.0,9.17985065927,19.4245,122.495324128,79.8482552293,33.3988,9.24826889888
 01/02  17:00:00,44.7962963632,3.87130954136,0.00497557216584,0.0,9.17985065927,26.9147,138.456777901,79.1096725754,50.0982,9.24890532533
 01/02  18:00:00,45.8623169978,3.87130954136,0.0,0.0,9.17985065927,26.9147,136.216706924,73.9512113495,50.0982,12.1672955744
 01/02  19:00:00,45.8708895758,3.87130954136,0.00357510184384,0.0,9.17985065927,26.9147,134.377008148,67.4123451058,50.0982,16.8664630426
 01/02  20:00:00,38.5126783462,3.87130954136,0.0,0.0,9.17985065927,19.4245,120.265897858,68.8149881488,33.3988,18.0521097092
 01/02  21:00:00,38.4954888791,3.87130954136,0.0,0.0,9.17985065927,19.4245,115.752908047,67.2527472059,33.3988,15.1013608412
 01/02  22:00:00,38.4250312616,3.87130954136,0.0,0.0,9.17985065927,19.4245,113.320159125,71.4041079612,25.0491,16.8669511643
 01/02  23:00:00,38.3143029141,3.87130954136,0.0,0.0,9.17985065927,19.4245,104.734652194,74.1155270142,16.6994,13.9197251794
 01/02  24:00:00,39.121589862,3.87130954136,0.0,0.0,9.17985065927,19.4245,93.4961379041,77.6398528305,8.3497,7.50658507358
 01/03  01:00:00,22.361797101,3.87130954136,0.0,0.0,4.58992532963,8.1892,93.5767713883,83.8902453532,3.33988,6.34664603513
 01/03  02:00:00,14.6557191212,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  03:00:00,14.6846363223,0.0,0.0,0.0,1.52997510988,7.4902,3.93192895423,0.0,3.33988,0.592048954227
 01/03  04:00:00,14.7010486773,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/03  05:00:00,15.3703408017,0.0,0.0,0.0,1.52997510988,7.4902,3.93193489441,0.0,3.33988,0.592054894408
 01/03  06:00:00,23.0063576486,3.87130954136,0.0,0.0,4.58992532963,8.1892,88.9865440226,80.6168440226,8.3497,0.02
 01/03  07:00:00,38.6885308215,3.87130954136,0.0142338118331,0.0,9.17985065927,19.4245,96.7701259683,75.4554736416,16.6994,4.61525232671
 01/03  08:00:00,42.7613819659,3.87130954136,0.0190041241083,0.0,9.17985065927,26.9147,110.758223609,67.0731309378,25.0491,18.6359926712
 01/03  09:00:00,41.7082051673,3.87130954136,0.00207937440034,0.0,9.17985065927,26.9147,114.255096714,64.5718614874,33.3988,16.2844352264
 01/03  10:00:00,34.2239783634,3.87130954136,0.0,0.0,9.17985065927,19.4245,103.387261575,64.414623337,25.0491,13.9235382378
 01/03  11:00:00,41.7220047271,3.87130954136,0.00917389309387,0.0,9.17985065927,26.9147,119.409158334,65.4950402725,41.7485,12.1656180618
 01/03  12:00:00,42.4729294069,3.87130954136,0.0,0.0,9.17985065927,26.9147,113.799621009,58.1300518473,41.7485,13.9210691616
 01/03  13:00:00,41.7720457929,3.87130954136,0.0,0.0,9.17985065927,26.9147,103.596633666,49.6824191604,41.7485,12.1657145051
 01/03  14:00:00,34.2554897173,3.87130954136,0.0,0.0,9.17985065927,19.4245,94.4555520766,50.6393542188,33.3988,10.4173978578
 01/03  15:00:00,34.2572924498,3.87130954136,0.0,0.0,9.17985065927,19.4245,90.4997786495,56.1996430169,25.0491,9.25103563257
 01/03  16:00:00,34.2440431702,3.87130954136,0.0,0.0,9.17985065927,19.4245,103.374977759,60.7252932434,33.3988,9.25088451587
 01/03  17:00:00,44.8607492579,3.87130954136,0.014418277595,0.0,9.17985065927,26.9147,116.150336785,56.8014038421,50.0982,9.250732943
 01/03  18:00:00,45.9307359388,3.87130954136,0.00445539912474,0.0,9.17985065927,26.9147,109.691724921,47.4268637293,50.0982,12.1666611912
 01/03  19:00:00,45.94862935,3.87130954136,0.00515358379541,0.0,9.17985065927,26.9147,104.299496486,37.3355464917,50.0982,16.8657499945
 01/03  20:00:00,38.4458064749,3.87130954136,0.0,0.0,9.17985065927,19.4245,90.6131238648,39.1622324755,33.3988,18.0520913893
 01/03  21:00:00,38.4308033276,3.87130954136,0.0,0.0,9.17985065927,19.4245,90.7875670979,41.7067362705,33.3988,15.6820308274
 01/03  22:00:00,38.3838972716,3.87130954136,0.0,0.0,9.17985065927,19.4245,90.4318418785,49.0988835362,25.0491,16.2838583423
 01/03  23:00:00,38.3711353616,3.87130954136,0.0,0.0,9.17985065927,19.4245,84.5396038497,53.915941155,16.6994,13.9242626947
 01/03  24:00:00,39.1517364335,3.87130954136,0.0,0.0,9.17985065927,19.4245,75.6469651979,59.789733008,8.3497,7.50753218989
 01/04  01:00:00,22.3963149356,3.87130954136,0.0,0.0,4.58992532963,8.1892,79.4816343777,69.7954558458,3.33988,6.34629853197
 01/04  02:00:00,14.6833392722,0.0,0.0,0.0,1.52997510988,7.4902,3.93197177815,0.0,3.33988,0.592091778145
 01/04  03:00:00,14.7040186263,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  04:00:00,14.7132416115,0.0,0.0,0.0,1.52997510988,7.4902,3.93192591724,0.0,3.33988,0.592045917236
 01/04  05:00:00,14.861614498,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/04  06:00:00,22.4852619101,3.87130954136,0.0,0.0,4.58992532963,8.1892,90.5643999053,81.6226480448,8.3497,0.592051860463
 01/04  07:00:00,38.4464093345,3.87130954136,0.0129234504879,0.0,9.17985065927,19.4245,98.6938520363,77.3809876455,16.6994,4.61346439076
 01/04  08:00:00,42.7623743622,3.87130954136,0.0165317064528,0.0,9.17985065927,26.9147,104.840746534,61.7371935746,25.0491,18.0544529598
 01/04  09:00:00,41.69929373,3.87130954136,0.0,0.0,9.17985065927,26.9147,113.950171583,63.6839007838,33.3988,16.8674707989
 01/04  10:00:00,34.1938801723,3.87130954136,0.0,0.0,9.17985065927,19.4245,109.562146083,70.5939303304,25.0491,13.9191157527
 01/04  11:00:00,41.6835994644,3.87130954136,0.00885851691463,0.0,9.17985065927,26.9147,127.68695428,73.7710539412,41.7485,12.1674003392
 01/04  12:00:00,42.4491035277,3.87130954136,0.0,0.0,9.17985065927,26.9147,121.543323691,66.453866388,41.7485,13.3409573028
 01/04  13:00:00,41.7366747077,3.87130954136,0.0,0.0,9.17985065927,26.9147,111.567334671,57.072542795,41.7485,12.7462918758
 01/04  14:00:00,34.2124212582,3.87130954136,0.0,0.0,9.17985065927,19.4245,102.719937329,58.9043697452,33.3988,10.4167675836
 01/04  15:00:00,34.2087032324,3.87130954136,0.0,0.0,9.17985065927,19.4245,99.2770008789,64.9786070189,25.0491,9.24929385999
 01/04  16:00:00,34.1898197137,3.87130954136,0.0,0.0,9.17985065927,19.4245,114.05309563,71.404918566,33.3988,9.24937706392
