Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,687.234362267,96.0982968231,239.350585081,0.0,34.9616554283,113.312780494,715.292640172,700.889092097,5.66466996096,8.73887811482
 01/01  02:00:00,733.957356152,96.0982968231,295.847415679,0.0,34.9616554283,113.312780494,656.700421587,633.571870727,5.66466996096,17.4638808997
 01/01  03:00:00,734.792276479,96.0982968231,297.117288621,0.0,34.9616554283,113.312780494,669.889553603,646.761209512,5.66466996096,17.4636741303
 01/01  04:00:00,733.583579978,96.0982968231,296.458447166,0.0,34.9616554283,113.312780494,681.527692567,658.399595112,5.66466996096,17.4634274941
 01/01  05:00:00,745.381384112,96.0982968231,298.187482226,0.0,44.4937663224,113.312780494,676.797484252,653.669642762,5.66466996096,17.4631715286
 01/01  06:00:00,748.225178339,96.0982968231,299.545053843,0.0,44.4937663224,113.312780494,689.286536817,657.661948237,14.1616749024,17.462913678
 01/01  07:00:00,812.779127013,96.0982968231,294.482305056,0.0,54.0258772165,176.889270242,644.160531172,598.374525613,28.3233498048,17.4626557534
 01/01  08:00:00,806.124038485,96.0982968231,291.046742238,0.0,54.0258772165,184.38654557,654.708624252,594.76120135,42.4850247072,17.4623981945
 01/01  09:00:00,882.400570613,96.0982968231,290.936888077,0.0,65.1572554096,220.04316451,646.046342501,563.075947364,56.6466996096,26.3236955271
 01/01  10:00:00,871.603619251,96.0982968231,284.907432134,0.0,65.1572554096,212.545889182,617.575163071,548.625269751,42.4850247072,26.4648686132
 01/01  11:00:00,889.506453669,96.0982968231,292.23051121,0.0,65.1572554096,220.04316451,634.177212287,527.89094659,70.808374512,35.477891185
 01/01  12:00:00,897.435904678,96.0982968231,299.636827438,0.0,65.1572554096,220.04316451,611.010031286,504.727418878,70.808374512,35.4742378957
 01/01  13:00:00,910.675467672,96.0982968231,312.000229273,0.0,65.1572554096,220.04316451,599.245646693,492.96684941,70.808374512,35.4704227712
 01/01  14:00:00,925.89743978,96.0982968231,327.638626822,0.0,65.1572554096,212.545889182,576.246552822,484.133245723,56.6466996096,35.4666074891
 01/01  15:00:00,935.136727703,96.0982968231,333.953100516,0.0,65.1572554096,212.545889182,551.854575068,473.906748648,42.4850247072,35.4628017121
 01/01  16:00:00,930.740920574,96.0982968231,329.073251629,0.0,65.1572554096,212.545889182,565.92640963,482.666068266,56.6466996096,26.6136417548
 01/01  17:00:00,901.496057321,96.0982968231,313.869318038,0.0,65.1572554096,220.04316451,625.984545278,505.53086766,84.9700494144,35.483628203
 01/01  18:00:00,839.906063923,96.0982968231,294.034836018,0.0,54.0258772165,184.38654557,671.386506305,551.138574987,84.9700494144,35.2778819036
 01/01  19:00:00,799.33926389,96.0982968231,274.150652347,0.0,44.4937663224,163.454314868,713.208748637,616.06515087,84.9700494144,12.1735483528
 01/01  20:00:00,774.765287866,96.0982968231,253.175570878,0.0,44.4937663224,155.95703954,727.078309277,656.405771547,56.6466996096,14.0258381197
 01/01  21:00:00,722.285391553,96.0982968231,231.727712907,0.0,44.4937663224,124.558693486,806.235489615,732.124936468,56.6466996096,17.4638535377
 01/01  22:00:00,700.871352867,96.0982968231,210.278726918,0.0,44.4937663224,124.558693486,838.102778145,778.154166518,42.4850247072,17.4635869196
 01/01  23:00:00,670.022538361,96.0982968231,187.669571411,0.0,34.9616554283,124.558693486,885.090341064,839.303665392,28.3233498048,17.4633258668
