Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,163.404085023,30.8429701264,39.4215825034,0.0,34.4311606118,33.1021868926,221.539234881,71.4085408811,3.33212,146.798574
 01/01  02:00:00,160.61025946,30.8429701264,36.6228407062,0.0,34.4311606118,33.1021868926,166.72798197,48.037264836,3.33212,115.358597134
 01/01  03:00:00,139.321938445,30.8429701264,32.7850339479,0.0,19.466279405,30.610668775,160.013665901,41.3482543996,3.33212,115.333291502
 01/01  04:00:00,137.191894926,30.8429701264,30.6470264983,0.0,19.466279405,30.610668775,150.943224526,37.2455958227,3.33212,110.365508704
 01/01  05:00:00,144.97140523,30.8429701264,31.8509779801,0.0,19.466279405,30.610668775,189.485960447,34.4399836047,3.33212,151.713856842
 01/01  06:00:00,159.00709728,30.8429701264,33.6393820612,0.0,19.466279405,30.610668775,229.39665929,33.1643557636,8.3303,187.902003526
 01/01  07:00:00,239.599139323,30.8429701264,42.6959362572,0.0,42.6918050922,54.3732441037,317.351280368,33.187577872,16.6606,267.503102496
 01/01  08:00:00,309.243662787,35.6365990413,66.3457583187,0.0,49.3960418185,88.5934452969,662.854643618,193.063987013,24.9909,444.799756605
 01/01  09:00:00,368.046385176,35.5960129881,96.0981495783,0.0,57.6566862989,112.030105488,886.516993421,224.489245023,33.3212,628.706548397
 01/01  10:00:00,307.595157952,35.9488468077,91.4983708569,0.0,50.9524495726,81.1684271793,744.526145332,220.419010076,66.8089,457.298235256
 01/01  11:00:00,245.614763542,36.0684805123,74.4542708688,0.0,42.6918050922,68.9656133826,655.122207891,230.598094059,83.4695,341.054613832
 01/01  12:00:00,250.034897616,36.1540741944,82.4881702806,0.0,38.286128036,68.9656133826,593.253547153,232.161243181,83.4695,277.622803972
 01/01  13:00:00,251.580225845,36.2578736239,84.7670259125,0.0,38.286128036,68.9656133826,508.957475456,228.327607412,83.4695,197.160368044
 01/01  14:00:00,232.1676632,36.3569074364,84.4238077454,0.0,31.5818913096,56.727595265,487.209023006,214.93326656,75.1392,197.136556446
