Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,102.587802669,22.6345814561,4.91261161248,9.77364203056,4.12243109448,15.9888894789,97.2053901246,94.2136597067,2.97173041782,0.02
 01/02  02:00:00,96.6611875821,19.0027604679,2.33111781979,10.7367100576,4.12243109448,15.9888894789,84.3891232256,81.3973928077,2.97173041782,0.02
 01/02  03:00:00,114.427739587,23.7534505848,2.51670326684,15.5504660642,4.12243109448,15.9888894789,106.423475767,103.431745349,2.97173041782,0.02
 01/02  04:00:00,99.0046089333,19.0027604679,1.72683930069,13.5081521774,4.12243109448,15.9888894789,86.5573249691,83.5655945513,2.97173041782,0.02
 01/02  05:00:00,142.626510057,28.0823129385,2.4130039435,15.4847088912,12.3672932834,24.9413748627,122.629824693,117.656940663,4.9528840297,0.02
 01/02  06:00:00,171.4610694,27.6708293652,5.42968483408,41.9525159401,12.3672932834,24.9413748627,190.252606311,185.279722281,4.9528840297,0.02
 01/02  07:00:00,229.55363376,28.5677287855,5.46268260992,42.3696274851,24.7345865669,70.7195625826,197.463569455,187.537801396,9.90576805939,0.02
 01/02  08:00:00,236.974204861,28.6235931174,5.4752746654,30.6906172104,37.1018798503,92.3937384068,180.689324555,170.763556496,9.90576805939,0.02
 01/02  09:00:00,238.577432558,28.6422743182,6.11972487834,24.7653540092,37.1018798503,104.434947198,169.948650129,160.02288207,9.90576805939,0.02
 01/02  10:00:00,246.466981051,28.6847384837,7.52021925985,20.1172109756,37.1018798503,116.476155989,166.455942858,147.918580616,9.90576805939,8.63159418265
 01/02  11:00:00,244.276242647,28.7019594014,8.89170654562,18.2844037087,37.1018798503,116.476155989,149.781579637,139.855811578,9.90576805939,0.02
 01/02  12:00:00,241.435312843,28.7140933895,10.041724372,16.8237266936,37.1018798503,116.476155989,152.922181692,134.375932175,9.90576805939,8.64048145688
 01/02  13:00:00,227.257989403,28.7541612053,11.4447693828,14.4062810399,37.1018798503,104.434947198,136.44876576,126.522997701,9.90576805939,0.02
 01/02  14:00:00,233.075593703,28.8123379308,12.4577290841,11.4547235433,37.1018798503,116.476155989,135.797108899,117.250710774,9.90576805939,8.64063006584
 01/02  15:00:00,231.139815833,28.8342074541,12.708840559,10.4131830654,37.1018798503,116.476155989,132.70233775,114.158036434,9.90576805939,8.63853325614
 01/02  16:00:00,230.176584561,28.8505975775,12.3531071447,10.1093886975,37.1018798503,116.476155989,124.788043965,114.862275906,9.90576805939,0.02
 01/02  17:00:00,242.142462536,28.8529644357,12.1035101089,10.5949762223,37.1018798503,116.476155989,135.540279257,117.003146128,9.90576805939,8.63136506917
 01/02  18:00:00,246.242193337,28.8602947014,12.105269656,10.9310942007,37.1018798503,116.476155989,127.02183566,117.0960676,9.90576805939,0.02
 01/02  19:00:00,151.46287743,27.0980481575,8.77371048281,0.0471409735205,24.7345865669,47.5788473902,87.2269712707,82.2540872411,4.9528840297,0.02
 01/02  20:00:00,151.081393246,27.5198759208,8.38769711129,0.259622245735,24.7345865669,47.5788473902,91.3682874254,86.3954033957,4.9528840297,0.02
 01/02  21:00:00,129.031613347,26.3950018853,8.67018782816,0.373083949697,12.3672932834,38.6892022431,104.431249383,101.439518966,2.97173041782,0.02
 01/02  22:00:00,105.822840568,21.2847326136,7.71794741397,0.702406164804,12.3672932834,27.0668015668,89.2636508816,86.2719204638,2.97173041782,0.02
 01/02  23:00:00,84.4771571293,19.0027604679,6.60149379202,4.77969497788,4.12243109448,15.9888894789,78.8532551048,75.861524687,2.97173041782,0.02
 01/02  24:00:00,99.4183826558,23.7534505848,8.41744204751,8.27600478736,4.12243109448,15.9888894789,101.004808762,98.0130783438,2.97173041782,0.02
 01/03  01:00:00,86.8560113262,19.0027604679,6.83531574499,8.01332850733,4.12243109448,15.9888894789,91.1418629098,79.5698290864,2.97173041782,8.60030340562
 01/03  02:00:00,100.458933493,23.7534505848,8.88712557249,11.2998245963,4.12243109448,15.9888894789,104.115701153,101.123970735,2.97173041782,0.02
 01/03  03:00:00,87.5676193732,19.0027604679,7.19927533949,9.88877644641,4.12243109448,15.9888894789,84.517633983,81.5259035652,2.97173041782,0.02
 01/03  04:00:00,101.848137348,23.7534505848,9.31987098691,13.4169263384,4.12243109448,15.9888894789,105.971306979,102.979576561,2.97173041782,0.02
