Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,58.0720439775,2.72099189344,0.0,0.0,15.863942322,29.242365,37.3131327263,34.0874527263,3.20568,0.02
 01/01  02:00:00,57.5038667619,2.14328591337,0.0,0.0,15.863942322,29.242365,23.8188195767,20.5931395767,3.20568,0.02
 01/01  03:00:00,57.8336955677,2.47257723111,0.0,0.0,15.863942322,29.242365,31.5801451993,25.4913175711,3.20568,2.8831476282
 01/01  04:00:00,57.4984397186,2.14328591337,0.0,0.0,15.863942322,29.242365,26.257720172,23.032040172,3.20568,0.02
 01/01  05:00:00,58.18352821,2.61026400484,0.0,0.0,15.863942322,29.242365,33.7558247093,27.6669756452,3.20568,2.88316906404
 01/01  06:00:00,57.8372180292,2.2809726871,0.0,0.0,15.863942322,29.242365,27.7680558167,24.5423758167,3.20568,0.02
 01/01  07:00:00,58.3206235141,2.74795077858,0.0,0.0,15.863942322,29.242365,37.1744246233,31.0855828669,3.20568,2.88316175648
 01/01  08:00:00,49.6695854751,1.31716527097,0.0,0.0,15.863942322,29.242365,12.1133382499,8.8876582499,3.20568,0.02
 01/01  09:00:00,47.910415795,0.987873953226,0.0,0.0,15.863942322,29.242365,11.1542802963,5.06373319378,3.20568,2.88486710251
 01/01  10:00:00,47.9260570941,0.987873953226,0.0,0.0,15.863942322,29.242365,6.26728989306,3.04160989306,3.20568,0.02
 01/01  11:00:00,47.2247011578,0.294803460658,0.0,0.0,15.863942322,29.242365,6.79327632168,0.702718722831,3.20568,2.88487759885
 01/01  12:00:00,47.6511538103,0.0,0.0,0.0,15.863942322,29.242365,6.09056548325,0.0,3.20568,2.88488548325
 01/01  13:00:00,46.9207520248,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  14:00:00,46.9687550269,0.0,0.0,0.0,15.863942322,29.242365,6.09057460552,0.0,3.20568,2.88489460552
 01/01  15:00:00,46.9854179255,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.9705333145,0.0,0.0,0.0,15.863942322,29.242365,6.08875867046,0.0,3.20568,2.88307867046
 01/01  17:00:00,54.009519273,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  18:00:00,55.4260409381,0.0,0.0,0.0,15.863942322,29.242365,6.08880856858,0.0,3.20568,2.88312856858
 01/01  19:00:00,55.4188103746,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  20:00:00,55.6297716072,0.0,0.0,0.0,15.863942322,29.242365,6.0888584123,0.0,3.20568,2.8831784123
 01/01  21:00:00,56.6028965992,0.987873953226,0.0,0.0,15.863942322,29.242365,5.68864504663,2.46296504663,3.20568,0.02
 01/01  22:00:00,57.8143054077,2.30793157224,0.0,0.0,15.863942322,29.242365,30.8873653553,24.7986261275,3.20568,2.88305922787
 01/01  23:00:00,58.3197951637,2.96940655577,0.0,0.0,15.863942322,29.242365,46.191979164,42.966299164,3.20568,0.02
 01/01  24:00:00,58.9836219656,2.88563755231,0.0,0.0,15.863942322,29.242365,50.0897081375,46.8640281375,3.20568,0.02
 01/02  01:00:00,58.3225360591,2.96940655577,0.0,0.0,15.863942322,29.242365,61.2970600327,55.2066336296,3.20568,2.88474640313
 01/02  02:00:00,59.6851035199,4.30757293427,0.0,0.0,15.863942322,29.242365,95.2703541644,89.1797047797,3.20568,2.88496938474
 01/02  03:00:00,58.9065681428,3.53543055835,0.0,0.0,15.863942322,29.242365,82.486526132,79.260846132,3.20568,0.02
 01/02  04:00:00,59.8535404842,4.45652661916,0.0,0.0,15.863942322,29.242365,119.883089086,113.792426405,3.20568,2.88498268089
 01/02  05:00:00,59.8019507551,4.20837814892,0.0,0.0,15.863942322,29.242365,97.2078373891,91.1173710109,3.20568,2.8847863782
 01/02  06:00:00,60.7997315463,5.18543771989,0.0,0.0,15.863942322,29.242365,133.874732498,130.649052498,3.20568,0.02
 01/02  07:00:00,66.2442986318,7.32073412155,0.0,0.0,15.863942322,29.818365,892.240961992,886.150324821,3.20568,2.88495717097
 01/02  08:00:00,123.316432429,7.32073412155,0.0,0.0,80.527626,29.818365,566.868550569,560.774028102,3.20568,2.88884246656
 01/02  09:00:00,166.345227655,7.32073412155,0.00373638718473,0.0,80.527626,75.0917375,439.529283755,403.903261469,24.0426,11.5834222862
 01/02  10:00:00,166.275456379,7.32073412155,0.00186893694533,0.0,80.527626,75.0917375,380.530344154,336.065221972,24.0426,20.422522182
 01/02  11:00:00,170.256401109,7.32073412155,0.00105551481913,0.0,80.527626,79.0911225,351.788396959,296.370241839,32.0568,23.3613551205
 01/02  12:00:00,171.011617733,7.32073412155,0.0,0.0,80.527626,79.0911225,309.786736699,254.303372151,32.0568,23.4265645483
 01/02  13:00:00,170.237903981,7.32073412155,0.0,0.0,80.527626,79.0911225,285.523769593,227.053248808,32.0568,26.4137207848
 01/02  14:00:00,166.251065172,7.32073412155,0.0,0.0,80.527626,75.0917375,262.575891742,220.102067478,16.0284,26.4454242642
 01/02  15:00:00,166.251252856,7.32073412155,0.0,0.0,80.527626,75.0917375,250.201912762,213.746352514,16.0284,20.4271602474
 01/02  16:00:00,164.227386398,7.32073412155,0.0,0.0,80.527626,73.092045,245.492385945,218.912228739,3.20568,23.374477206
 01/02  17:00:00,171.267750703,7.32073412155,0.0,0.0,80.527626,73.092045,233.877414623,227.782214159,3.20568,2.88952046447
 01/02  18:00:00,129.454426239,7.32073412155,0.0,0.0,80.527626,29.818365,267.71167752,261.616867477,3.20568,2.8891300431
 01/02  19:00:00,129.466350928,7.32073412155,0.0,0.0,80.527626,29.818365,290.305854873,278.448752057,3.20568,8.65142281613
 01/02  20:00:00,129.692569477,7.32073412155,0.0,0.0,80.527626,29.818365,298.587129763,286.714424076,3.20568,8.66702568678
 01/02  21:00:00,129.684196049,7.32073412155,0.0,0.0,80.527626,29.818365,298.3484007,289.363121074,3.20568,5.7795996262
 01/02  22:00:00,55.4487254481,0.0,0.0,0.0,15.863942322,29.242365,11.8664490182,0.0,3.20568,8.66076901825
 01/02  23:00:00,55.3431134621,0.0,0.0,0.0,15.863942322,29.242365,6.0967460358,0.0,3.20568,2.8910660358
 01/02  24:00:00,56.1409086688,0.0,0.0,0.0,15.863942322,29.242365,8.96218233829,0.0,3.20568,5.75650233829
 01/03  01:00:00,55.3753112651,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  02:00:00,55.376214525,0.0,0.0,0.0,15.863942322,29.242365,6.09044279484,0.0,3.20568,2.88476279484
 01/03  03:00:00,55.3759914785,0.0,0.0,0.0,15.863942322,29.242365,6.09045995058,0.0,3.20568,2.88477995058
 01/03  04:00:00,55.3755589523,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/03  05:00:00,56.4397112153,0.0,0.0,0.0,15.863942322,29.242365,6.09047698666,0.0,3.20568,2.88479698666
 01/03  06:00:00,56.2699193259,0.0,0.0,0.0,15.863942322,29.242365,6.09049394607,0.0,3.20568,2.88481394607
