Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,13.5085720926,2.1591704651,0.0,0.0,1.85583932782,5.577,50.7456556273,45.432033303,3.0011,2.31252232434
 01/01  02:00:00,9.50784460759,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  03:00:00,9.52950630487,0.0,0.0,0.0,0.618613109274,5.0,3.59315780992,0.0,3.0011,0.592057809917
 01/01  04:00:00,9.54032881162,0.0,0.0,0.0,0.618613109274,5.0,3.0211,0.0,3.0011,0.02
 01/01  05:00:00,9.69133617142,0.0,0.0,0.0,0.618613109274,5.0,3.59316373599,0.0,3.0011,0.592063735991
 01/01  06:00:00,13.6758908246,2.1591704651,0.0,0.0,1.85583932782,5.577,45.881133763,41.359483763,4.50165,0.02
 01/01  07:00:00,28.1469112798,2.1591704651,0.0,0.0,3.71167865564,18.077,50.7713166576,35.5285415167,13.50495,1.73782514085
 01/01  08:00:00,26.2037210007,2.1591704651,0.0,0.0,3.71167865564,18.077,55.2901359882,32.5445715448,21.0077,1.73786444341
 01/01  09:00:00,20.569008055,2.1591704651,0.0,0.0,3.71167865564,13.077,49.896753851,33.7256795354,15.0055,1.16557431556
 01/01  10:00:00,20.5737469267,2.1591704651,0.0,0.0,3.71167865564,13.077,50.669159145,33.9253196135,15.0055,1.73833953151
 01/01  11:00:00,25.5716860753,2.1591704651,0.0,0.0,3.71167865564,18.077,67.7735330087,29.5716903339,33.0121,5.18974267474
 01/01  12:00:00,26.7302794827,2.1591704651,0.0,0.0,3.71167865564,18.077,70.5659174058,25.4361400528,40.51485,4.61492735302
 01/01  13:00:00,25.8066063614,2.1591704651,0.0,0.0,3.71167865564,18.077,61.6513980862,22.1751200108,36.0132,3.46307807542
 01/01  14:00:00,25.6108038466,2.1591704651,0.0,0.0,3.71167865564,18.077,56.1621645872,20.6131346152,31.51155,4.03747997201
 01/01  15:00:00,20.6113608095,2.1591704651,0.0,0.0,3.71167865564,13.077,46.1966826294,22.3017151841,21.0077,2.88726744527
 01/01  16:00:00,20.5929899164,2.1591704651,0.0,0.0,3.71167865564,13.077,47.1050476993,24.7107180904,19.50715,2.88717960894
 01/01  17:00:00,22.3993389763,2.1591704651,0.0,0.0,3.71167865564,13.077,53.8621941414,27.8932771634,22.50825,3.46066697802
 01/01  18:00:00,28.0232184294,2.1591704651,0.0,0.0,3.71167865564,18.077,58.0305483728,29.0581725398,25.50935,3.46302583293
