Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,149.362663196,31.8898854284,0.0,0.0,43.513341876,52.539744,112.325424322,107.471164322,4.83426,0.02
 01/01  02:00:00,132.679578793,15.2105081029,0.0,0.0,43.513341876,52.539744,79.1785007838,74.3242407838,4.83426,0.02
 01/01  03:00:00,133.898203076,16.3941439957,0.0,0.0,43.513341876,52.539744,110.539645281,105.685385281,4.83426,0.02
 01/01  04:00:00,127.781569112,10.3221612765,0.0,0.0,43.513341876,52.539744,82.6074040396,77.7531440396,4.83426,0.02
 01/01  05:00:00,133.383084443,15.4598835224,0.0,0.0,43.513341876,52.539744,115.698016385,102.2502458,4.83426,8.61351058458
 01/01  06:00:00,133.867369523,16.0121775966,0.0,0.0,43.513341876,52.539744,77.3426330721,72.4883730721,4.83426,0.02
 01/01  07:00:00,128.740537019,10.8246842805,0.0,0.0,43.513341876,52.539744,105.289998141,100.435738141,4.83426,0.02
 01/01  08:00:00,118.031958482,15.2436558479,0.0,0.0,43.513341876,52.539744,65.3228273198,60.4685673198,4.83426,0.02
 01/01  09:00:00,104.804455239,4.98391899032,0.0,0.0,43.513341876,52.539744,75.7469987695,70.8927387695,4.83426,0.02
 01/01  10:00:00,103.797857174,3.98713519226,0.0,0.0,43.513341876,52.539744,52.1194209062,38.6637645527,4.83426,8.62139635351
 01/01  11:00:00,104.786064288,4.98391899032,0.0,0.0,43.513341876,52.539744,48.0327838684,43.1785238684,4.83426,0.02
 01/01  12:00:00,104.71633414,3.98713519226,0.0,0.0,43.513341876,52.539744,31.3032576653,26.4489976653,4.83426,0.02
 01/01  13:00:00,104.744032301,4.98391899032,0.0,0.0,43.513341876,52.539744,42.1798242774,28.7240906482,4.83426,8.62147362924
 01/01  14:00:00,103.824238779,3.98713519226,0.0,0.0,43.513341876,52.539744,21.9623995596,17.1081395596,4.83426,0.02
 01/01  15:00:00,101.04771992,1.19959012149,0.0,0.0,43.513341876,52.539744,9.28393854164,4.42967854164,4.83426,0.02
 01/01  16:00:00,102.826020039,3.00382854317,0.0,0.0,43.513341876,52.539744,16.5132985777,11.6590385777,4.83426,0.02
 01/01  17:00:00,118.429442906,3.87937185888,0.0,0.0,43.513341876,52.539744,30.2899828218,16.842137113,4.83426,8.61358570885
 01/01  18:00:00,122.506522489,4.98391899032,0.0,0.0,43.513341876,52.539744,31.1127313891,26.2584713891,4.83426,0.02
 01/01  19:00:00,121.497971913,3.98713519226,0.0,0.0,43.513341876,52.539744,32.177662941,27.323402941,4.83426,0.02
 01/01  20:00:00,122.939451608,4.98391899032,0.0,0.0,43.513341876,52.539744,47.7639931803,42.9097331803,4.83426,0.02
 01/01  21:00:00,121.913322118,3.98713519226,0.0,0.0,43.513341876,52.539744,48.8266092724,43.9723492724,4.83426,0.02
 01/01  22:00:00,136.230745666,18.4691527171,0.0,0.0,43.513341876,52.539744,112.16537622,98.7175190349,4.83426,8.61359718544
 01/01  23:00:00,138.573334834,21.1157441974,0.0,0.0,43.513341876,52.539744,108.338278786,103.484018786,4.83426,0.02
 01/01  24:00:00,143.512064576,25.0121013847,0.0,0.0,43.513341876,52.539744,149.626724551,144.772464551,4.83426,0.02
 01/02  01:00:00,151.678563812,34.1808322768,0.0,0.0,43.513341876,52.539744,139.154389065,134.300129065,4.83426,0.02
 01/02  02:00:00,153.904320294,36.3494851565,0.0,0.0,43.513341876,52.539744,185.622463551,172.166494224,4.83426,8.62170932684
 01/02  03:00:00,149.499337724,31.963284119,0.0,0.0,43.513341876,52.539744,159.016544952,154.162284952,4.83426,0.02
 01/02  04:00:00,152.653857915,35.0514984539,0.0,0.0,43.513341876,52.539744,199.622142286,194.767882286,4.83426,0.02
 01/02  05:00:00,158.471599928,40.4727192781,0.0,0.0,43.513341876,52.539744,181.989430146,168.534107627,4.83426,8.621062519
 01/02  06:00:00,159.577802956,41.5237641912,0.0,0.0,43.513341876,52.539744,218.181463468,213.327203468,4.83426,0.02
 01/02  07:00:00,196.399532149,72.3134456798,0.0,0.0,43.513341876,53.238744,3145.76865377,3140.91439377,4.83426,0.02
