Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,39.2946660516,5.32745594475,0.446344025952,2.95432629439,12.925468867,10.100111941,37.4829774492,37.4629774492,0.0,0.02
 01/01  02:00:00,39.0359670418,5.32171488229,0.456835415467,2.69211338496,12.925468867,10.100111941,37.1941674635,31.4331100419,0.0,5.76105742153
 01/01  03:00:00,34.8493484424,5.31498953051,0.23050269626,3.35758795714,8.34152022915,10.0650221343,38.5958682887,32.8342326041,0.0,5.76163568463
 01/01  04:00:00,35.324893205,5.32280302935,0.122536664661,3.93328553761,8.34152022915,10.0650221343,39.4995570445,33.7379899385,0.0,5.76156710604
 01/01  05:00:00,37.1065360221,5.32621279253,0.0831505794188,4.14416741519,8.34152022915,11.6705166398,39.6195434278,33.8505725876,0.0,5.76897084022
 01/01  06:00:00,41.4103615173,5.33033241964,0.0640189144444,4.30457440827,8.80141237637,15.3678112995,39.127258839,33.35161743,0.0,5.77564140904
 01/01  07:00:00,60.4266962355,5.31384996244,0.29250190529,3.13206574087,18.5082010057,25.6353820695,38.6111076666,32.8229076074,0.0,5.78820005922
 01/01  08:00:00,70.5688520117,5.37514174029,1.27517167171,1.42686573202,19.4926561212,41.1001056674,48.5412835519,31.1052958607,0.0,17.4359876912
 01/01  09:00:00,94.0694722139,5.58311190817,3.52449917075,0.596343279818,26.3286599382,57.9988325916,66.1702001001,24.5702440563,0.0,41.5999560438
 01/01  10:00:00,79.9476067608,5.48916917166,4.65140245115,0.715543363859,26.2443270014,42.8153538416,71.1080143731,23.5513422523,18.025,29.5316721208
 01/01  11:00:00,55.7152516963,5.35912101782,3.5404770139,1.59914121141,21.7447113004,23.4437158914,71.0898365723,23.6403284679,18.025,29.4245081045
 01/01  12:00:00,53.7753032354,5.41342833802,3.93412808075,1.6135148468,19.3449162599,23.4437158914,69.4021682223,22.0298167954,18.025,29.3473514269
 01/01  13:00:00,53.6626997475,5.43040839907,3.93702891083,1.33911079087,19.190480192,23.7425572507,62.1385365991,20.6982889928,18.025,23.4152476063
 01/01  14:00:00,53.3116210157,5.41542360641,3.90636033918,1.00756393966,19.260583323,23.698576057,58.2507021482,16.8089576293,18.025,23.4167445188
 01/01  15:00:00,52.9611276917,5.38973216368,3.79221845874,0.796903708634,19.260583323,23.698576057,57.8498181982,16.4088950016,18.025,23.4159231966
 01/01  16:00:00,52.3078321676,5.34693113758,3.48836617721,0.780211095552,19.260583323,23.4086260847,60.3302965122,18.88768314,18.025,23.4176133722
 01/01  17:00:00,61.4720766873,5.31256967685,2.34344870136,1.02039492277,19.260583323,27.8781056672,44.9074291064,21.1137033271,18.025,5.76872577937
 01/01  18:00:00,70.3518047751,5.33456537366,1.01807531638,0.696903204497,18.1807569449,37.5792895564,29.7089321305,23.9333153866,0.0,5.77561674385
 01/01  19:00:00,84.7656719938,5.40959394411,1.6966102864,0.463504720689,32.6059821062,37.0465235296,35.768451106,29.9856023299,0.0,5.78284877614
 01/01  20:00:00,85.551478959,5.47558808639,2.19969151232,0.448902338338,36.8143715336,33.066984531,44.4178790346,32.8437718944,0.0,11.5741071402
 01/01  21:00:00,91.5938942229,5.56505345515,2.81445841738,0.427584290176,36.43363367,38.8072253906,47.7652693727,36.192876886,0.0,11.5723924868
 01/01  22:00:00,89.210397708,5.55796367398,2.69114817476,0.531195890673,36.0963922311,36.7877557581,50.414657491,38.8405273129,0.0,11.5741301782
 01/01  23:00:00,66.913246471,5.38313061573,1.3352117215,1.08443748193,30.9507766546,20.6087787026,59.8468101795,42.4095356832,0.0,17.4372744963
 01/01  24:00:00,45.673347342,5.33218030289,0.439107078958,3.22667330364,17.4250845679,11.7056064465,52.5425199535,46.7523663158,0.0,5.79015363776
 01/02  01:00:00,39.3597995894,5.3466648187,0.180669030369,4.58523171596,11.6412384099,10.0650221343,54.7110264035,48.9420580146,0.0,5.76896838888
 01/02  02:00:00,39.6899596373,5.40532609746,0.0557772111817,6.5424478607,10.0992000411,10.047477231,56.4174797306,50.6555160762,0.0,5.76196365436
 01/02  03:00:00,39.7032606636,5.47045215199,0.0349501568443,8.37100798225,8.25718729233,10.0299323277,58.4380530346,52.6761396225,0.0,5.76191341212
 01/02  04:00:00,40.9051961581,5.51211682868,0.0287230846857,9.53750822099,8.25718729233,10.0299323277,53.7942562899,53.7742562899,0.0,0.02
 01/02  05:00:00,43.4224443258,5.54359726321,0.02317690398,10.4220826399,8.25718729233,11.6354268332,60.0387134654,54.2697349055,0.0,5.76897855993
 01/02  06:00:00,51.507090086,5.55987230174,0.020961858609,10.9126088583,12.1011305571,15.3678112995,65.7761742003,54.2157521104,0.0,11.5604220899
 01/02  07:00:00,77.6057294913,5.46579821689,0.425833228796,7.17151838632,19.7275818095,37.2640762949,70.847993924,53.4108666907,0.0,17.4371272333
 01/02  08:00:00,88.8792094142,5.5022645957,1.59006320346,4.29166232756,24.3117294858,51.2795993405,68.1043685303,50.5806029166,0.0,17.5237656137
 01/02  09:00:00,77.3741245863,5.47371070637,0.689116668468,6.87580785758,23.6694662846,40.6342015617,75.4177901129,39.9761350289,0.0,35.441655084
 01/02  10:00:00,73.5294730175,5.4740850941,2.73425693577,5.99335612489,23.6694662846,35.6302164847,83.1104322422,35.6670256239,18.025,29.4184066184
 01/02  11:00:00,57.2271183645,5.45989432212,2.28191024279,7.75449266585,18.7433767983,22.9618409725,75.5985784282,34.0885448093,18.025,23.4850336189
 01/02  12:00:00,57.0044034365,5.44656422596,2.2849101884,7.54459349822,18.7433767983,22.9618409725,73.8802576394,32.4294824769,18.025,23.4257751625
 01/02  13:00:00,55.4078292102,5.40355717073,2.31612620098,5.9163597207,18.5889407304,23.1597249699,69.7023169213,28.2500091477,18.025,23.4273077736
 01/02  14:00:00,54.3424631777,5.38935030666,2.75653048088,4.1782962954,18.7433767983,23.2517909448,71.6190298652,24.3233764271,18.025,29.2706534381
 01/02  15:00:00,53.788286714,5.35214802102,2.59537692209,3.82247774598,18.7433767983,23.2517909448,65.3857626761,23.9496240298,18.025,23.4111386462
 01/02  16:00:00,53.2460857019,5.32919936959,2.44392197917,3.7446302959,18.7433767983,22.9618409725,67.5201890914,26.0822033686,18.025,23.4129857229
 01/02  17:00:00,62.4341539261,5.31956967373,1.53673876837,3.74617443168,18.7433767983,27.431320555,50.5344715598,26.7408706895,18.025,5.76860087032
 01/02  18:00:00,74.2776538077,5.33557691119,0.703108623125,2.33480865924,17.6635504202,40.6971502883,33.8319075132,28.0489714531,0.0,5.78293606011
 01/02  19:00:00,80.5232413057,5.36126130072,1.06359820624,1.6887959631,27.5259009287,37.3340067412,49.8596198594,32.4454637065,0.0,17.4141561528
 01/02  20:00:00,82.7665751269,5.38727914335,1.42532812648,1.21944235243,33.8341110165,33.3544677425,39.0239304035,33.2266820086,0.0,5.79724839488
 01/02  21:00:00,91.4805592121,5.48599124663,2.27723380012,0.828652301982,36.5179666069,38.8247702939,45.7384788642,34.1652601823,0.0,11.5732186818
 01/02  22:00:00,86.1883455812,5.52554520011,2.57692188167,0.711681537701,32.965339924,36.8579353714,50.9929377119,33.55714474,0.0,17.4357929719
 01/02  23:00:00,61.6874326458,5.35874918252,1.14398907568,1.35806537837,25.6355707503,20.6438685092,45.8007706413,34.2120974883,0.0,11.5886731531
 01/02  24:00:00,43.0699741002,5.31690346096,0.304651068911,3.17530765672,15.0252895274,11.7056064465,41.0377220145,35.2616014026,0.0,5.77612061187
 01/03  01:00:00,39.1045599685,5.34182254052,0.136455918392,4.37904419299,11.6412384099,10.0650221343,40.9125828318,35.1435486103,0.0,5.76903422148
 01/03  02:00:00,38.1616951173,5.36005321442,0.0786193361721,5.03661161878,10.0992000411,10.047477231,41.2814805359,35.5197335258,0.0,5.76174701008
 01/03  03:00:00,36.7073783406,5.37281142187,0.0451690135833,5.46254650744,8.25718729233,10.0299323277,41.0451707664,35.2834649388,0.0,5.7617058276
 01/03  04:00:00,36.9315427357,5.38097606821,0.0385097608693,5.68520586801,8.25718729233,10.0299323277,35.2743608142,35.2543608142,0.0,0.02
 01/03  05:00:00,38.5401424747,5.38121062594,0.0347410738675,5.69060005266,8.25718729233,11.6354268332,40.6377278856,34.8687529671,0.0,5.76897491847
 01/03  06:00:00,45.638967236,5.36341261438,0.035402515957,5.22649966937,12.1011305571,15.3678112995,44.991345508,33.4311278314,0.0,11.5602176766
 01/03  07:00:00,72.5988458603,5.35248913268,1.06229265277,1.64147571748,19.7275818095,37.2640762949,47.8317571488,32.0868870449,0.0,15.7448701039
 01/03  08:00:00,86.343771338,5.50427423275,2.48743092919,0.856832940735,24.3117294858,51.2795993405,48.6959112543,29.4702288593,0.0,19.2256823949
