Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,83.3834103753,8.03289321406,0.0,0.0,3.49369000822,6.81298672936,18.4195040451,16.6482540451,1.75125,0.02
 01/01  02:00:00,79.6319669876,4.01644660703,0.0,0.0,3.49369000822,6.81298672936,8.72794873095,6.95669873095,1.75125,0.02
 01/01  03:00:00,87.8567683007,12.0493398211,0.0,0.0,3.49369000822,6.81298672936,22.5685193117,19.6529125022,1.75125,1.16435680959
 01/01  04:00:00,83.8455734801,8.03289321406,0.0,0.0,3.49369000822,6.81298672936,17.1373827302,15.3661327302,1.75125,0.02
 01/01  05:00:00,94.4143575894,12.0493398211,0.0,0.0,3.49369000822,6.81298672936,27.8621961195,26.0909461195,1.75125,0.02
 01/01  06:00:00,94.1226121136,12.0493398211,0.0,0.0,3.49369000822,6.81298672936,28.4500261852,25.53445429,1.75125,1.16432189513
 01/01  07:00:00,123.657134698,28.1815344098,0.0,0.0,6.98738001645,14.1499734587,442.367752731,438.845252731,3.5025,0.02
 01/01  08:00:00,122.525114759,28.1815344098,0.0,0.0,6.98738001645,14.1499734587,406.702167986,403.179667986,3.5025,0.02
 01/01  09:00:00,154.413704961,28.1815344098,0.0,0.0,6.98738001645,14.1499734587,360.406903783,355.740019006,3.5025,1.16438477697
 01/01  10:00:00,127.147449385,28.1815344098,0.0,0.0,6.98738001645,14.1499734587,347.372152418,343.849652418,3.5025,0.02
 01/01  11:00:00,161.760925285,28.1815344098,0.0,0.0,27.9495200658,27.7759469175,314.882257327,306.712499373,7.005,1.16475795334
 01/01  12:00:00,192.955473841,28.1815344098,0.0,0.0,27.9495200658,27.7759469175,295.198763237,287.028958332,7.005,1.16480490501
 01/01  13:00:00,200.435250542,28.1815344098,0.0,0.0,41.9242800987,36.8599292233,262.887848029,252.382842345,9.34,1.16500568418
 01/01  14:00:00,197.997080311,28.1815344098,0.0,0.0,41.9242800987,36.8599292233,248.186850615,237.681912389,9.34,1.16493822626
 01/01  15:00:00,194.157902017,28.1815344098,0.0,0.0,41.9242800987,36.8599292233,243.228738003,232.723728324,9.34,1.16500967899
 01/01  16:00:00,190.612271622,28.1815344098,0.0,0.0,41.9242800987,36.8599292233,247.49653395,236.991590072,9.34,1.16494387831
 01/01  17:00:00,200.52864353,28.1815344098,0.0,0.0,41.9242800987,36.8599292233,258.848025371,248.343091385,9.34,1.164933986
 01/01  18:00:00,175.133156015,28.1815344098,0.0,0.0,27.9495200658,27.7759469175,311.756266291,304.731266291,7.005,0.02
 01/01  19:00:00,181.39817087,28.1815344098,0.0,0.0,13.9747600329,18.6919646116,345.473293935,339.638535148,4.67,1.16475878725
 01/01  20:00:00,161.155872693,28.1815344098,0.0,0.0,13.9747600329,18.6919646116,365.027335446,359.192620092,4.67,1.1647153536
 01/01  21:00:00,152.418177534,28.1815344098,0.0,0.0,13.9747600329,18.6919646116,382.522984398,376.68837793,4.67,1.16460646843
 01/01  22:00:00,138.252443943,28.1815344098,0.0,0.0,13.9747600329,18.6919646116,354.479197651,349.789197651,4.67,0.02
 01/01  23:00:00,76.8511163946,0.0,0.0,0.0,3.49369000822,6.81298672936,2.91559935317,0.0,1.75125,1.16434935317
 01/01  24:00:00,112.79401707,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/02  01:00:00,95.6521908565,12.0493398211,0.0,0.0,3.49369000822,9.08398230582,35.8485856307,33.4935856307,2.335,0.02
 01/02  02:00:00,89.7617751355,12.3245381492,0.0,0.0,3.49369000822,9.08398230582,41.3093952797,38.9543952797,2.335,0.02
 01/02  03:00:00,86.8533024925,9.56123171007,0.0,0.0,3.49369000822,9.08398230582,31.4246907819,27.9256217438,2.335,1.16406903811
 01/02  04:00:00,94.3378661132,17.1510192694,0.0,0.0,3.49369000822,9.08398230582,50.4299514233,48.0749514233,2.335,0.02
 01/02  05:00:00,99.3778434689,15.7296305114,0.0,0.0,3.49369000822,9.08398230582,57.058414577,54.703414577,2.335,0.02
