Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,22.4727470586,4.01635641676,0.00132042251003,0.0,4.58992532963,8.1892,119.538240775,109.270719334,3.33988,6.92764144121
 01/01  02:00:00,14.6415074078,0.0,0.0,0.0,1.52997510988,7.4902,3.93193719781,0.0,3.33988,0.592057197807
 01/01  03:00:00,14.6606154217,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  04:00:00,14.6710354711,0.0,0.0,0.0,1.52997510988,7.4902,3.35988,0.0,3.33988,0.02
 01/01  05:00:00,14.820101324,0.0,0.0,0.0,1.52997510988,7.4902,3.93194312486,0.0,3.33988,0.592063124855
 01/01  06:00:00,22.6112036857,4.01635641676,0.0125652085843,0.0,4.58992532963,8.1892,126.592391793,118.222691793,8.3497,0.02
 01/01  07:00:00,38.5655610004,4.01635641676,0.0107010924628,0.0,9.17985065927,19.4245,137.72394328,116.410712055,16.6994,4.613831225
 01/01  08:00:00,42.8509117298,4.01635641676,0.00912792959921,0.0,9.17985065927,26.9147,135.478388499,105.816290932,25.0491,4.61299756747
 01/01  09:00:00,41.7985635342,4.01635641676,0.0,0.0,9.17985065927,26.9147,138.784810509,100.772628386,33.3988,4.61338212213
 01/01  10:00:00,34.311783739,4.01635641676,0.0,0.0,9.17985065927,19.4245,131.541817025,102.452683894,25.0491,4.04003313043
 01/01  11:00:00,41.8102555095,4.01635641676,0.00329674229417,0.0,9.17985065927,26.9147,153.283799047,97.0262512666,41.7485,14.5090477803
 01/01  12:00:00,42.5836364194,4.01635641676,0.0,0.0,9.17985065927,26.9147,145.64764923,89.9693348424,41.7485,13.9298143877
