Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,610.376271783,96.7403410254,150.425373329,0.0,34.9616554283,113.312780494,843.609445723,829.212137992,5.66466996096,8.73263777046
 01/01  02:00:00,630.797216046,96.7403410254,172.75097431,0.0,34.9616554283,113.312780494,815.068439435,791.959749369,5.66466996096,17.4440201054
 01/01  03:00:00,624.432214338,96.7403410254,166.797929754,0.0,34.9616554283,113.312780494,855.827253976,832.720348998,5.66466996096,17.4422350167
 01/01  04:00:00,621.993151767,96.7403410254,163.401102338,0.0,34.9616554283,113.312780494,873.679899265,850.571531246,5.66466996096,17.4436980581
 01/01  05:00:00,619.845435934,96.7403410254,151.942679968,0.0,44.4937663224,113.312780494,906.01345392,882.903822912,5.66466996096,17.4449610471
 01/01  06:00:00,607.925339368,96.7403410254,137.435745956,0.0,44.4937663224,113.312780494,955.141954617,923.53724468,14.1616749024,17.4430350355
 01/01  07:00:00,662.209670243,96.7403410254,120.320927307,0.0,54.0258772165,176.889270242,954.214753737,908.450230939,28.3233498048,17.4411729937
 01/01  08:00:00,648.760422733,96.7403410254,110.617087402,0.0,54.0258772165,184.38654557,953.662863498,902.444669712,42.4850247072,8.7331690791
 01/01  09:00:00,734.198885903,96.7403410254,119.981604012,0.0,65.1572554096,220.04316451,881.070243401,798.135559591,56.6466996096,26.2879842004
 01/01  10:00:00,746.172833177,96.7403410254,138.645168448,0.0,65.1572554096,212.545889182,783.399657463,714.493116354,42.4850247072,26.4215164022
 01/01  11:00:00,771.254491693,96.7403410254,154.600024594,0.0,65.1572554096,220.04316451,774.767217955,668.564219171,70.808374512,35.3946242715
 01/01  12:00:00,793.091375488,96.7403410254,172.694426687,0.0,65.1572554096,220.04316451,720.941278905,623.569403307,70.808374512,26.5635010863
 01/01  13:00:00,815.511966394,96.7403410254,194.577825921,0.0,65.1572554096,220.04316451,685.461630688,579.251393796,70.808374512,35.4018623804
 01/01  14:00:00,828.262498126,96.7403410254,212.115552624,0.0,65.1572554096,212.545889182,638.0410117,554.844069647,56.6466996096,26.5502424433
 01/01  15:00:00,842.537965644,96.7403410254,224.422181346,0.0,65.1572554096,212.545889182,608.379320309,530.484483676,42.4850247072,35.4098119255
 01/01  16:00:00,843.913488272,96.7403410254,224.897840594,0.0,65.1572554096,212.545889182,628.764771231,536.71864194,56.6466996096,35.3994296817
 01/01  17:00:00,812.61891805,96.7403410254,210.528810143,0.0,65.1572554096,220.04316451,706.84681583,595.321892554,84.9700494144,26.5548738619
 01/01  18:00:00,749.540496956,96.7403410254,188.83244545,0.0,54.0258772165,184.38654557,796.223814588,684.832708764,84.9700494144,26.4210564092
 01/01  19:00:00,703.131844338,96.7403410254,172.421560966,0.0,44.4937663224,163.454314868,860.185738597,757.770665438,84.9700494144,17.4450237449
 01/01  20:00:00,683.30871342,96.7403410254,160.240194803,0.0,44.4937663224,155.95703954,864.951479863,790.861673459,56.6466996096,17.4431067947
