Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,156.805355655,30.9733523704,32.3815512341,0.512335994349,34.4311606118,33.1021868926,217.400090365,75.5942592028,3.33212,138.473711162
 01/01  02:00:00,150.326226214,30.9733523704,25.8409214373,0.527880663311,34.4311606118,33.1021868926,168.642628042,62.8792152342,3.33212,102.431292808
 01/01  03:00:00,128.139276425,30.9733523704,21.0020656125,0.656374906406,19.466279405,30.610668775,166.993910095,56.415934368,3.33212,107.245855727
 01/01  04:00:00,125.591366279,30.9733523704,18.4290843356,0.691915932207,19.466279405,30.610668775,164.631495878,53.2821431874,3.33212,108.01723269
 01/01  05:00:00,132.071828613,30.9733523704,18.2954922928,0.734755777354,19.466279405,30.610668775,193.873298231,52.2722174436,3.33212,138.268960787
 01/01  06:00:00,145.051561399,30.9733523704,18.9759160857,0.790843493068,19.466279405,30.610668775,232.454391537,52.7972258114,8.3303,171.326865726
 01/01  07:00:00,225.290164226,30.9733523704,27.7616286909,0.675984962771,42.6918050922,54.3732441037,317.56568614,53.0052810716,16.6606,247.899805068
 01/01  08:00:00,298.626822799,35.8112772691,53.0535424162,0.0,49.3960418185,88.5934452969,769.378081798,330.962747122,24.9909,413.424434676
 01/01  09:00:00,365.039364777,35.8124476541,93.243882768,0.0301941671115,57.6566862989,112.030105488,987.405643179,364.307669319,33.3212,589.77677386
 01/01  10:00:00,307.428898757,35.8175358687,91.5118126123,0.353688898983,50.9524495726,81.1684271793,812.009958883,326.024047134,66.8089,419.177011749
 01/01  11:00:00,253.038004537,35.8099035468,82.2812758562,0.268719659296,42.6918050922,68.9656133826,714.901108087,310.359695625,83.4695,321.071912463
 01/01  12:00:00,251.628806185,35.8156589778,84.8698843407,0.0,38.286128036,68.9656133826,643.470517645,304.425246493,83.4695,255.575771152
 01/01  13:00:00,249.881766719,35.8708779394,83.9530892678,0.0,38.286128036,68.9656133826,562.138514934,291.43503483,83.4695,187.233980104
 01/01  14:00:00,231.710682978,35.9210636574,84.6916195543,0.0,31.5818913096,56.727595265,550.540048712,288.158595882,75.1392,187.24225283
 01/01  15:00:00,240.911091643,35.9613380773,93.8307942264,0.0,31.5818913096,56.727595265,532.9343696,286.418639248,66.8089,179.706830352
 01/01  16:00:00,221.804061994,35.9711185367,74.7695560384,0.0,31.5818913096,56.727595265,546.086615077,289.67575344,75.1392,181.271661636
 01/01  17:00:00,226.612798698,35.817327306,44.9704154007,0.0,31.5818913096,61.661095265,534.905966197,299.34790768,91.7998,143.758258517
 01/01  18:00:00,263.113955039,35.802271225,42.5589129239,0.0,31.5818913096,70.9729253606,563.173305264,334.44695621,49.9818,178.744549055
 01/01  19:00:00,334.363576565,35.8099035468,51.680448267,0.377956122736,80.3315023541,83.7685254822,619.030119219,355.043387788,49.9818,214.004931431
 01/01  20:00:00,349.879989905,35.8073594396,63.4102959593,0.221386812202,102.000620287,77.6748002752,668.842865036,354.526616663,33.3212,280.995048373
 01/01  21:00:00,378.479288467,35.8073594396,71.5070336251,0.199432233592,108.704857014,91.4735406516,659.851945593,353.530541606,33.3212,273.000203987
 01/01  22:00:00,351.553873957,35.8175358687,72.5345036285,0.409533603581,95.2963835608,89.1510273009,655.767571892,350.375337687,24.9909,280.401334205
 01/01  23:00:00,296.384936098,35.8124476541,70.8126562313,0.116170776497,80.3315023541,63.3799339444,787.888377199,361.450097974,16.6606,409.777679225
 01/01  24:00:00,207.576865091,35.8175358687,46.3872897338,0.0,42.6918050922,48.4199368926,644.121154554,391.99605517,8.3303,243.794799385
 01/02  01:00:00,143.449262297,30.9733523704,30.3838058493,0.592764091175,25.5240853573,30.610668775,218.529223653,76.8976793396,3.33212,138.299424313
 01/02  02:00:00,128.774387845,30.9733523704,23.016046632,0.6090935061,19.418418834,29.3649097162,170.703215806,65.8309140951,3.33212,101.540181711
 01/02  03:00:00,118.137880003,30.9733523704,20.2158527986,0.676904603856,12.7620426787,28.1191506574,170.533570808,59.3173579513,3.33212,107.884092856
 01/02  04:00:00,115.793940781,30.9733523704,17.7648081973,0.794444876988,12.7620426787,28.1191506574,161.056221449,56.1853982142,3.33212,101.538703235
 01/02  05:00:00,122.670332537,30.9733523704,17.9151545312,0.946096964016,12.7620426787,28.1191506574,196.838549096,55.2096056868,3.33212,138.296823409
 01/02  06:00:00,158.712599639,30.9733523704,26.3131244931,0.97330455676,25.5240853573,30.610668775,307.250332025,54.5716543905,8.3303,244.348377635
 01/02  07:00:00,285.093294809,30.9733523704,54.9798715228,0.855899385607,51.0481707146,78.1489452969,482.431196022,51.845526696,16.6606,413.925069326
 01/02  08:00:00,361.975743348,35.81294872,80.0832613551,0.0,64.3609230253,109.708623606,900.508584212,326.29913317,24.9909,549.218551042
 01/02  09:00:00,301.972581446,35.8073594396,68.3561563554,0.0,51.0481707146,80.7689615957,815.341559504,362.195942517,33.3212,419.824416988
 01/02  10:00:00,279.008288182,35.8179686265,73.5997345616,0.0855274600525,51.0481707146,71.0224615957,703.788148567,316.4246929,66.8089,320.554555667
 01/02  11:00:00,235.608088118,35.8670341276,78.78833831,0.208110080073,32.1804615127,65.7244621605,631.74134648,293.26092101,83.4695,255.01092547
 01/02  12:00:00,276.015594333,35.9470725921,118.486351767,0.0,32.1804615127,65.7244621605,546.810266682,275.704166464,83.4695,187.636600218
 01/02  13:00:00,293.234260232,36.050020974,136.161517666,0.0,32.1804615127,65.7244621605,528.664160395,257.884204354,83.4695,187.310456041
 01/02  14:00:00,264.963010018,36.1398923997,117.37355938,0.0,32.1804615127,55.9779621605,500.703906679,245.493713765,75.1392,180.070992914
 01/02  15:00:00,246.865297405,36.2000617136,99.1641734221,0.0,32.1804615127,55.9779621605,491.790258733,238.273604131,66.8089,186.707754603
