Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/02  01:00:00,113.706573318,23.6607315705,9.02224043395,12.1779975673,4.12243109448,15.9888894789,100.326077674,97.3343472559,2.97173041782,0.02
 01/02  02:00:00,103.25005123,19.7914921564,6.68192798793,12.4846990444,4.12243109448,15.9888894789,86.6611047662,83.6693743484,2.97173041782,0.02
 01/02  03:00:00,123.698679558,24.7393651956,8.83264896717,17.909039357,4.12243109448,15.9888894789,109.145315994,106.153585576,2.97173041782,0.02
 01/02  04:00:00,106.58039955,19.7914921564,6.68883726221,15.4986970184,4.12243109448,15.9888894789,88.7431928455,85.7514624277,2.97173041782,0.02
 01/02  05:00:00,152.644635734,29.2419431483,8.41898988021,18.4245742095,12.3672932834,24.9413748627,125.9016515,120.928767471,4.9528840297,0.02
 01/02  06:00:00,184.05993174,28.8041668239,12.4742849526,46.2830892958,12.3672932834,24.9413748627,195.045384002,190.072499973,4.9528840297,0.02
 01/02  07:00:00,236.928225795,29.7444883489,6.11718754498,47.8899190471,24.7345865669,70.7195625826,197.650625527,187.724857468,9.90576805939,0.02
 01/02  08:00:00,245.575551898,29.8038521757,5.52934796357,35.1769062463,37.1018798503,92.3937384068,182.077062519,172.151294459,9.90576805939,0.02
 01/02  09:00:00,243.540682143,29.8245591987,6.62289392451,27.6431925869,37.1018798503,104.434947198,169.603563289,159.677795229,9.90576805939,0.02
 01/02  10:00:00,250.675405658,29.8845778099,9.01427835787,21.3729591907,37.1018798503,116.476155989,160.904903929,142.36845261,9.90576805939,8.63068325978
 01/02  11:00:00,248.049879934,29.9807525548,11.0239851325,17.9522068666,37.1018798503,116.476155989,137.250916565,127.325148506,9.90576805939,0.02
 01/02  12:00:00,247.070359133,30.1351071539,12.4107078246,15.4738385631,37.1018798503,116.476155989,132.694929256,114.151527401,9.90576805939,8.63763379591
 01/02  13:00:00,236.504940987,30.3294693932,14.0284129785,13.3164180806,37.1018798503,104.434947198,111.82773477,101.90196671,9.90576805939,0.02
 01/02  14:00:00,247.809161992,30.4657319587,15.8330102687,11.527064423,37.1018798503,116.476155989,115.355433942,96.8118974199,9.90576805939,8.63776846262
 01/02  15:00:00,247.952372022,30.5153797508,16.842087095,9.98204758259,37.1018798503,116.476155989,104.928597058,95.0028289989,9.90576805939,0.02
 01/02  16:00:00,247.402456222,30.4517331875,17.0138607059,9.00892472901,37.1018798503,116.476155989,113.211207352,94.6713344883,9.90576805939,8.63410480397
 01/02  17:00:00,250.944607331,30.1929914584,15.4127360118,8.85694386394,37.1018798503,116.476155989,108.03388295,98.1081148907,9.90576805939,0.02
 01/02  18:00:00,261.404721365,30.0708126876,14.3337829359,9.5363882374,37.1018798503,116.476155989,124.019508875,105.494389611,9.90576805939,8.61935120457
 01/02  19:00:00,169.995782597,28.0544895846,14.1177209867,0.0796248011828,24.7345865669,47.5788473902,85.4874854586,80.5146014289,4.9528840297,0.02
 01/02  20:00:00,171.735271247,28.6482163665,15.1386744557,0.430899864443,24.7345865669,47.5788473902,91.2757584032,86.3028743735,4.9528840297,0.02
 01/02  21:00:00,144.558362159,27.4607628028,10.0747692217,0.383994486349,12.3672932834,38.6892022431,104.812446549,101.820716132,2.97173041782,0.02
 01/02  22:00:00,122.850177734,22.9482594323,11.122056476,2.40822790068,12.3672932834,27.0668015668,90.5390045868,87.547274169,2.97173041782,0.02
 01/02  23:00:00,98.7905822239,19.7914921564,10.7668691316,5.95369580206,4.12243109448,15.9888894789,80.4395561711,77.4478257533,2.97173041782,0.02
 01/02  24:00:00,118.312443593,24.7393651956,12.858956701,10.2672015466,4.12243109448,15.9888894789,102.962997678,99.9712672605,2.97173041782,0.02
 01/03  01:00:00,103.091212867,19.7914921564,9.67895283273,10.3287073836,4.12243109448,15.9888894789,84.0796125643,81.0878821465,2.97173041782,0.02
 01/03  02:00:00,123.286924627,24.7393651956,11.8985562533,14.6521158459,4.12243109448,15.9888894789,106.267145319,103.275414901,2.97173041782,0.02
 01/03  03:00:00,106.745032617,19.7914921564,9.11303468986,13.5732794258,4.12243109448,15.9888894789,86.3744130844,83.3826826666,2.97173041782,0.02
 01/03  04:00:00,125.464006608,24.7393651956,11.1621761415,17.8918606365,4.12243109448,15.9888894789,108.810980422,105.819250004,2.97173041782,0.02
 01/03  05:00:00,146.622213293,28.7966480619,10.8169300612,12.9847475933,12.3672932834,24.9413748627,123.016718514,118.043834484,4.9528840297,0.02
 01/03  06:00:00,193.915444123,29.2496919484,17.924272957,53.5795098813,12.3672932834,24.9413748627,192.886153142,187.913269113,4.9528840297,0.02
 01/03  07:00:00,231.493362064,29.7388366092,10.0124960174,42.739597837,24.7345865669,70.7195625826,183.693133489,173.767365429,9.90576805939,0.02
 01/03  08:00:00,242.436304861,29.8017712278,10.3315715916,31.7840521228,37.1018798503,92.3937384068,164.313046136,154.387278076,9.90576805939,0.02
 01/03  09:00:00,244.416681845,29.821870374,11.235817483,27.8395504815,37.1018798503,104.434947198,163.115469191,144.583623983,9.90576805939,8.62607714822
 01/03  10:00:00,254.337130353,29.8328580027,12.4028344624,24.8642524428,37.1018798503,116.476155989,146.332877407,136.407109347,9.90576805939,0.02
 01/03  11:00:00,250.920756818,29.8477894278,14.3091115173,21.0096274205,37.1018798503,116.476155989,144.266375209,125.72454297,9.90576805939,8.63606417954
 01/03  12:00:00,248.934440791,29.8698478974,15.6085585131,18.1867404674,37.1018798503,116.476155989,127.101319201,117.175551141,9.90576805939,0.02
 01/03  13:00:00,236.532076418,29.8911992393,16.4586216369,16.0369108547,37.1018798503,104.434947198,130.264297783,111.725901766,9.90576805939,8.63262795818
 01/03  14:00:00,243.109258353,29.9182606825,17.9882489429,14.3129735585,37.1018798503,116.476155989,117.87354148,107.94777342,9.90576805939,0.02
 01/03  15:00:00,240.327848988,29.9486276473,18.8237736169,12.9590323073,37.1018798503,116.476155989,125.054242676,106.512511781,9.90576805939,8.63596283583
 01/03  16:00:00,235.512859468,29.9730612742,18.4627105157,12.6312224955,37.1018798503,116.476155989,116.161744039,106.23597598,9.90576805939,0.02
 01/03  17:00:00,235.939682764,29.9888386952,17.6442092688,12.7296292743,37.1018798503,116.476155989,125.086748417,106.551690981,9.90576805939,8.62928937681
 01/03  18:00:00,241.222661151,30.0011936535,16.3179979517,13.0445346033,37.1018798503,116.476155989,117.179328586,107.253560527,9.90576805939,0.02
 01/03  19:00:00,145.75025843,28.0544895846,15.7618942604,0.106407441445,24.7345865669,47.5788473902,89.5050389052,84.5321548755,4.9528840297,0.02
 01/03  20:00:00,149.01936277,28.6482163665,17.678731218,0.462808164112,24.7345865669,47.5788473902,94.5150971566,89.542213127,4.9528840297,0.02
 01/03  21:00:00,123.290183753,27.4607628028,13.082181268,0.573038934046,12.3672932834,38.6892022431,116.016070285,104.434962251,2.97173041782,8.60937761601
 01/03  22:00:00,100.932226705,21.8350217163,9.99202553991,0.362911655114,12.3672932834,27.0668015668,92.1994706945,89.2077402767,2.97173041782,0.02
 01/03  23:00:00,93.3701464908,20.2367872428,14.4699753706,7.52918988112,4.12243109448,15.9888894789,81.2631220744,78.2713916566,2.97173041782,0.02
 01/03  24:00:00,108.223885802,24.2940701092,13.5227428828,8.3448141785,4.12243109448,15.9888894789,103.292346737,100.30061632,2.97173041782,0.02
