Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,63.4418112307,4.84756081616,3.21869993578,0.0,15.863942322,29.242365,101.714878069,98.489198069,3.20568,0.02
 01/01  02:00:00,62.8550023874,4.66546237199,2.82435491224,0.0,15.863942322,29.242365,88.9305844376,85.7049044376,3.20568,0.02
 01/01  03:00:00,64.5993833891,5.69273683796,3.51400615529,0.0,15.863942322,29.242365,127.810473298,121.721852983,3.20568,2.88294031488
 01/01  04:00:00,62.6726120083,4.48000753595,2.82230681027,0.0,15.863942322,29.242365,97.4245502146,94.1988702146,3.20568,0.02
 01/01  05:00:00,64.8654934659,5.73910054696,3.51076121476,0.0,15.863942322,29.242365,137.846848021,131.758171418,3.20568,2.88299660322
 01/01  06:00:00,62.9713447591,4.57273495397,2.81995748557,0.0,15.863942322,29.242365,107.221604988,103.995924988,3.20568,0.02
 01/01  07:00:00,64.9229092596,5.78546425597,3.50496548176,0.0,15.863942322,29.242365,151.32010092,148.09442092,3.20568,0.02
 01/01  08:00:00,56.9630186195,4.34091640892,2.82251315461,0.0,15.863942322,29.242365,98.4898638329,92.4011952377,3.20568,2.88298859528
 01/01  09:00:00,54.2968273856,3.8145150097,3.53124096345,0.0,15.863942322,29.242365,81.8032160931,78.5775360931,3.20568,0.02
 01/01  10:00:00,53.1742119015,3.24487890147,2.98478116046,0.0,15.863942322,29.242365,55.4175183858,49.3272443012,3.20568,2.8845940846
 01/01  11:00:00,54.6680573675,3.52561872082,4.21101059472,0.0,15.863942322,29.242365,53.1768759663,47.086539827,3.20568,2.8846561393
 01/01  12:00:00,53.6612590997,2.27007579632,3.75336599996,0.0,15.863942322,29.242365,29.6025787472,26.3768987472,3.20568,0.02
 01/01  13:00:00,54.299760695,2.2180042636,5.18693746529,0.0,15.863942322,29.242365,24.9373262309,18.8470512834,3.20568,2.88459494748
 01/01  14:00:00,52.715789293,1.44395515392,4.34252863521,0.0,15.863942322,29.242365,12.378299559,6.28814749175,3.20568,2.88447206727
 01/01  15:00:00,46.9373327357,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  16:00:00,46.926881273,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/01  17:00:00,49.6878541021,0.0,0.0,0.0,15.863942322,29.242365,6.08855901077,0.0,3.20568,2.88287901077
 01/01  18:00:00,56.7137925052,0.36098878848,0.948666501779,0.0,15.863942322,29.242365,4.55464388523,1.32896388523,3.20568,0.02
 01/01  19:00:00,62.7490266861,3.044124906,4.29578929753,0.0,15.863942322,29.242365,37.199329823,31.1106822431,3.20568,2.88296757986
 01/01  20:00:00,61.7814496463,2.95850966499,3.20030054934,0.0,15.863942322,29.242365,42.7129147017,39.4872347017,3.20568,0.02
 01/01  21:00:00,62.7805078292,3.3539201469,3.81591647198,0.0,15.863942322,29.242365,52.5455042883,46.4568487227,3.20568,2.88297556559
 01/01  22:00:00,62.4555376333,4.06863644877,2.87507487024,0.0,15.863942322,29.242365,75.7200590706,72.4943790706,3.20568,0.02
 01/01  23:00:00,62.9830345769,4.06707739263,3.5509731653,0.0,15.863942322,29.242365,81.2184138882,77.9927338882,3.20568,0.02
 01/01  24:00:00,63.9355929219,5.00720208641,2.81058627236,0.0,15.863942322,29.242365,110.186877786,104.09821473,3.20568,2.88298305588
 01/02  01:00:00,63.8275660003,4.91054188794,3.53302503166,0.0,15.863942322,29.242365,110.042022158,106.816342158,3.20568,0.02
 01/02  02:00:00,63.5495144973,5.35492990398,2.7995616429,0.0,15.863942322,29.242365,132.109772114,126.019430394,3.20568,2.88466171993
 01/02  03:00:00,63.8321985211,4.91054188794,3.53011841531,0.0,15.863942322,29.242365,119.876185267,113.785913238,3.20568,2.88459202953
 01/02  04:00:00,63.6139320646,5.41288454024,2.79433115085,0.0,15.863942322,29.242365,139.969503987,136.743823987,3.20568,0.02
 01/02  05:00:00,64.1706476001,5.02645116047,3.52717369616,0.0,15.863942322,29.242365,130.783226779,124.69288879,3.20568,2.88465798881
 01/02  06:00:00,63.8813469212,5.4708391765,2.78961061771,0.0,15.863942322,29.242365,152.594914055,146.504535162,3.20568,2.88469889269
 01/02  07:00:00,66.0651566896,7.72864404236,0.0,0.0,15.863942322,29.818365,849.283853964,846.058173964,3.20568,0.02
 01/02  08:00:00,124.740861912,7.72864404236,0.0,0.0,80.527626,29.818365,616.140129228,610.045771451,3.20568,2.88867777751
 01/02  09:00:00,166.513311216,7.72864404236,0.00643161843872,0.0,80.527626,75.0917375,464.526647403,428.907797827,24.0426,11.5762495753
 01/02  10:00:00,166.447522873,7.72864404236,0.00232048253884,0.0,80.527626,75.0917375,383.38312245,338.942038451,24.0426,20.3984839991
 01/02  11:00:00,170.417952001,7.72864404236,0.00122710892473,0.0,80.527626,79.0911225,330.02380148,280.466426629,32.0568,17.5005748501
 01/02  12:00:00,171.163850026,7.72864404236,0.0,0.0,80.527626,79.0911225,281.685415927,226.237311755,32.0568,23.3913041722
 01/02  13:00:00,170.551231724,7.89042192539,0.0,0.0,80.527626,79.0911225,255.287543101,196.861646003,32.0568,26.369097098
 01/02  14:00:00,166.874961975,8.19432746531,0.0,0.0,80.527626,75.0917375,239.684164147,197.257097585,16.0284,26.3986665613
 01/02  15:00:00,166.945674025,8.2603565844,0.0,0.0,80.527626,75.0917375,223.822996257,190.308272136,16.0284,17.4863241212
 01/02  16:00:00,164.784921608,8.11949002829,0.0,0.0,80.527626,73.092045,211.663111239,188.029715187,3.20568,20.4277160516
 01/02  17:00:00,167.134739273,7.72864404236,0.0,0.0,80.527626,73.092045,193.015414993,186.92090991,3.20568,2.88882508375
 01/02  18:00:00,129.596816102,7.72864404236,0.0,0.0,80.527626,29.818365,232.646398078,223.683377165,3.20568,5.757340913
 01/02  19:00:00,129.615133692,7.72864404236,0.0,0.0,80.527626,29.818365,263.042905143,254.065211194,3.20568,5.7720139485
 01/02  20:00:00,129.844862022,7.72864404236,0.0,0.0,80.527626,29.818365,285.078860642,276.091764753,3.20568,5.78141588918
 01/02  21:00:00,129.842170063,7.72864404236,0.0,0.0,80.527626,29.818365,305.914656211,294.052299742,3.20568,8.65667646812
 01/02  22:00:00,55.437706461,0.0,0.0,0.0,15.863942322,29.242365,8.98300394186,0.0,3.20568,5.77732394186
 01/02  23:00:00,55.3332925234,0.0,0.0,0.0,15.863942322,29.242365,8.96616504133,0.0,3.20568,5.76048504133
 01/02  24:00:00,56.1355110152,0.0,0.0,0.0,15.863942322,29.242365,6.09369810837,0.0,3.20568,2.88801810837
 01/03  01:00:00,56.3793449443,0.29059592774,0.72105705277,0.0,15.863942322,29.242365,3.40712995879,0.181449958794,3.20568,0.02
 01/03  02:00:00,61.3957469891,1.8049439424,4.21562695856,0.0,15.863942322,29.242365,7.45020304908,1.35991401891,3.20568,2.88460903017
 01/03  03:00:00,59.9706785473,1.44395515392,3.15734934289,0.0,15.863942322,29.242365,7.73561835776,1.64544501668,3.20568,2.88449334107
 01/03  04:00:00,60.9316869841,1.8049439424,3.75795422939,0.0,15.863942322,29.242365,6.38030185711,3.15462185711,3.20568,0.02
 01/03  05:00:00,61.4049698996,2.06354563572,2.91202622646,0.0,15.863942322,29.242365,20.6817541567,14.5913673215,3.20568,2.88470683523
 01/03  06:00:00,63.0079321333,3.1473899863,3.5996554578,0.0,15.863942322,29.242365,35.6273812814,29.5371923498,3.20568,2.8845089316
 01/03  07:00:00,66.1894031618,7.72864404236,0.00106184747063,0.0,15.863942322,29.818365,636.768192058,633.542512058,3.20568,0.02
 01/03  08:00:00,124.259494971,7.72864404236,0.000412221976814,0.0,80.527626,29.818365,472.915598761,466.821075207,3.20568,2.88884355451
 01/03  09:00:00,166.446594275,7.72864404236,0.00533792892577,0.0,80.527626,75.0917375,377.25080745,341.632592731,24.0426,11.5756147187
 01/03  10:00:00,166.438127268,7.72864404236,0.00237637268629,0.0,80.527626,75.0917375,331.478702661,287.038307505,24.0426,20.3977951562
 01/03  11:00:00,170.41484226,7.72864404236,0.00347221927076,0.0,80.527626,79.0911225,288.491620415,236.017853126,32.0568,20.4169672892
 01/03  12:00:00,171.174170642,7.72864404236,0.0,0.0,80.527626,79.0911225,240.210332554,187.684433882,32.0568,20.469098672
 01/03  13:00:00,170.422171921,7.72864404236,0.0,0.0,80.527626,79.0911225,231.995924457,173.569768445,32.0568,26.3693560116
 01/03  14:00:00,166.33364069,7.72864404236,0.0,0.0,80.527626,75.0917375,210.82848465,168.399193132,16.0284,26.4008915182
 01/03  15:00:00,166.172789751,7.72864404236,0.0,0.0,80.527626,75.0917375,194.604390616,161.086881245,16.0284,17.4891093712
 01/03  16:00:00,164.262568153,7.72864404236,0.0,0.0,80.527626,73.092045,198.53331857,174.899373807,3.20568,20.4282647625
 01/03  17:00:00,167.175832705,7.72864404236,0.0,0.0,80.527626,73.092045,187.947768453,181.853235446,3.20568,2.88885300647
 01/03  18:00:00,129.640190012,7.72864404236,0.0,0.0,80.527626,29.818365,222.206346808,213.242806503,3.20568,5.75786030505
 01/03  19:00:00,129.650785369,7.72864404236,0.0,0.0,80.527626,29.818365,250.657947039,241.679380986,3.20568,5.77288605295
 01/03  20:00:00,129.657365748,7.72864404236,0.0,0.0,80.527626,29.818365,261.013285601,249.14438322,3.20568,8.66322238104
 01/03  21:00:00,129.661143437,7.72864404236,0.0,0.0,80.527626,29.818365,262.840212963,253.856894496,3.20568,5.77763846693
 01/03  22:00:00,55.3199452224,0.0,0.0,0.0,15.863942322,29.242365,11.8619491969,0.0,3.20568,8.65626919692
 01/03  23:00:00,55.3627015942,0.0,0.0,0.0,15.863942322,29.242365,6.09628902119,0.0,3.20568,2.89060902119
 01/03  24:00:00,56.1548652026,0.0,0.0,0.0,15.863942322,29.242365,6.09373465625,0.0,3.20568,2.88805465625
 01/04  01:00:00,55.3868449989,0.0,0.0,0.0,15.863942322,29.242365,6.09024382129,0.0,3.20568,2.88456382129
 01/04  02:00:00,55.3814356599,0.0,0.0,0.0,15.863942322,29.242365,3.22568,0.0,3.20568,0.02
 01/04  03:00:00,61.5100106742,1.8049439424,4.32217895998,0.0,15.863942322,29.242365,7.53120623825,1.44082835889,3.20568,2.88469787936
 01/04  04:00:00,59.9980566138,1.44395515392,3.17863257703,0.0,15.863942322,29.242365,7.71144775753,1.62109787788,3.20568,2.88466987966
 01/04  05:00:00,61.1194977596,1.8049439424,3.72310111204,0.0,15.863942322,29.242365,7.23562145426,4.00994145426,3.20568,0.02
 01/04  06:00:00,61.6955379755,3.2047544169,2.9147039523,0.0,15.863942322,29.242365,35.359540786,29.2697537302,3.20568,2.88410705573
 01/04  07:00:00,65.9085022021,7.72864404236,0.000386552431508,0.0,15.863942322,29.818365,653.408208183,650.182528183,3.20568,0.02
