Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,220.639965779,38.696879659,63.2872052344,0.0,43.513341876,52.539744,184.342183609,179.487923609,4.83426,0.02
 01/01  02:00:00,211.007356236,38.781396916,53.7801217269,0.0,43.513341876,52.539744,153.886280124,149.032020124,4.83426,0.02
 01/01  03:00:00,223.859071853,38.9087250285,66.1814550255,0.0,43.513341876,52.539744,226.848333893,221.994073893,4.83426,0.02
 01/01  04:00:00,206.837394959,35.328196773,53.0596038191,0.0,43.513341876,52.539744,158.748419259,153.894159259,4.83426,0.02
 01/01  05:00:00,224.887425416,40.6987640532,64.9829338403,0.0,43.513341876,52.539744,236.437500829,231.583240829,4.83426,0.02
 01/01  06:00:00,216.177717598,45.4340413891,51.8865588053,0.0,43.513341876,52.539744,177.443229782,163.997668516,4.83426,8.61130126598
 01/01  07:00:00,226.265447316,44.5794733292,62.4576096816,0.0,43.513341876,52.539744,254.536995621,249.682735621,4.83426,0.02
 01/01  08:00:00,181.096946357,24.2404559844,50.0856867284,0.0,43.513341876,52.539744,142.243902024,137.389642024,4.83426,0.02
 01/01  09:00:00,192.367050994,27.7968664783,63.466653733,0.0,43.513341876,52.539744,164.823709854,159.969449854,4.83426,0.02
 01/01  10:00:00,169.672879004,15.3577752566,53.4679469539,0.0,43.513341876,52.539744,98.3746205755,84.9200305855,4.83426,8.62032999005
 01/01  11:00:00,186.751886421,12.7100461477,72.8794094732,0.0,43.513341876,52.539744,107.464941157,102.610681157,4.83426,0.02
 01/01  12:00:00,176.631453808,10.1680369182,64.6074783677,0.0,43.513341876,52.539744,63.3722104544,58.5179504544,4.83426,0.02
 01/01  13:00:00,203.437256347,12.7100461477,89.4955193637,0.0,43.513341876,52.539744,78.8906824284,65.4360844383,4.83426,8.62033799009
 01/01  14:00:00,181.257122492,4.23690738848,76.0100983091,0.0,43.513341876,52.539744,42.859830469,38.005570469,4.83426,0.02
 01/01  15:00:00,205.463770718,5.2961342356,98.8008715743,0.0,43.513341876,52.539744,43.4928454343,38.6385854343,4.83426,0.02
 01/01  16:00:00,183.476390304,4.23690738848,78.250622261,0.0,43.513341876,52.539744,29.1202969377,24.2660369377,4.83426,0.02
 01/01  17:00:00,202.833442481,5.2961342356,90.548355178,0.0,43.513341876,52.539744,42.6700952648,37.8158352648,4.83426,0.02
 01/01  18:00:00,187.727737806,4.23690738848,64.9276598399,0.0,43.513341876,52.539744,52.8858974196,39.4388490132,4.83426,8.61278840645
 01/01  19:00:00,209.71761561,15.8067303329,75.1166714072,0.0,43.513341876,52.539744,76.3256957129,71.4714357129,4.83426,0.02
 01/01  20:00:00,190.54683332,14.3281206258,57.2812449979,0.0,43.513341876,52.539744,71.6212890091,66.7670290091,4.83426,0.02
 01/01  21:00:00,206.612860332,17.8062701039,69.6079340256,0.0,43.513341876,52.539744,121.540414288,116.686154288,4.83426,0.02
 01/01  22:00:00,208.798186271,35.2013188665,54.8734995915,0.0,43.513341876,52.539744,125.574123596,120.719863596,4.83426,0.02
 01/01  23:00:00,221.559101534,36.1367898313,66.6992968796,0.0,43.513341876,52.539744,200.603321813,187.156251019,4.83426,8.61281079335
 01/01  24:00:00,205.4937037,33.3956547039,52.6739013423,0.0,43.513341876,52.539744,152.745816918,147.891556918,4.83426,0.02
 01/02  01:00:00,225.992273282,43.4706992504,63.7565693242,0.0,43.513341876,52.539744,238.484878683,233.630618683,4.83426,0.02
 01/02  02:00:00,212.045647902,42.662106192,50.929900914,0.0,43.513341876,52.539744,168.100646568,163.246386568,4.83426,0.02
 01/02  03:00:00,227.43370921,45.6882474081,62.9563589621,0.0,43.513341876,52.539744,252.37969991,238.925084185,4.83426,8.62035572551
 01/02  04:00:00,208.027570869,38.781396916,50.7792770882,0.0,43.513341876,52.539744,175.1696412,170.3153812,4.83426,0.02
 01/02  05:00:00,221.3703363,40.1443770138,61.9825770952,0.0,43.513341876,52.539744,259.956888017,255.102628017,4.83426,0.02
