Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 01/01  01:00:00,84.7882076907,9.67047904153,0.0,0.0,3.49369000822,6.81298672936,29.6095805776,27.8383305776,1.75125,0.02
 01/01  02:00:00,88.5259331749,13.3403589452,0.0,0.0,3.49369000822,6.81298672936,39.6778740274,37.9066240274,1.75125,0.02
 01/01  03:00:00,86.8142557322,11.7142956493,0.0,0.0,3.49369000822,6.81298672936,32.8115484295,29.8959530828,1.75125,1.16434534671
 01/01  04:00:00,90.8782029139,15.8380450034,0.0,0.0,3.49369000822,6.81298672936,57.9112897523,56.1400397523,1.75125,0.02
 01/01  05:00:00,97.9032609124,16.1402498047,0.0,0.0,3.49369000822,6.81298672936,61.3960035336,59.6247535336,1.75125,0.02
 01/01  06:00:00,94.0709454829,12.7433336129,0.0,0.0,3.49369000822,6.81298672936,53.7703173151,50.8547437396,1.75125,1.16432357545
 01/01  07:00:00,122.180500375,27.4181562038,0.0,0.0,6.98738001645,14.1499734587,582.930041,579.407541,3.5025,0.02
 01/01  08:00:00,121.043130352,27.4181562038,0.0,0.0,6.98738001645,14.1499734587,542.631616655,539.109116655,3.5025,0.02
 01/01  09:00:00,153.150211572,27.4181562038,0.0,0.0,6.98738001645,14.1499734587,467.604733337,462.937826018,3.5025,1.16440731875
 01/01  10:00:00,125.684322262,27.4181562038,0.0,0.0,6.98738001645,14.1499734587,439.974974748,436.452474748,3.5025,0.02
 01/01  11:00:00,160.303835689,27.4181562038,0.0,0.0,27.9495200658,27.7759469175,399.595730576,391.425932084,7.005,1.16479849231
 01/01  12:00:00,191.743752765,27.4181562038,0.0,0.0,27.9495200658,27.7759469175,374.237352293,366.067542367,7.005,1.16480992601
 01/01  13:00:00,198.864597508,27.4181562038,0.0,0.0,41.9242800987,36.8599292233,334.391870804,323.886892468,9.34,1.1649783366
 01/01  14:00:00,195.991083701,27.4181562038,0.0,0.0,41.9242800987,36.8599292233,314.913128328,304.408257398,9.34,1.16487092994
 01/01  15:00:00,192.187251255,27.4181562038,0.0,0.0,41.9242800987,36.8599292233,301.816715875,292.456715875,9.34,0.02
 01/01  16:00:00,188.755183473,27.4181562038,0.0,0.0,41.9242800987,36.8599292233,301.774543661,291.269632415,9.34,1.16491124528
 01/01  17:00:00,195.527302677,27.4181562038,0.0,0.0,41.9242800987,36.8599292233,313.461558402,302.956725905,9.34,1.16483249646
 01/01  18:00:00,173.840023447,27.4181562038,0.0,0.0,27.9495200658,27.7759469175,384.030411908,375.860542353,7.005,1.16486955543
 01/01  19:00:00,180.431609881,27.4181562038,0.0,0.0,13.9747600329,18.6919646116,412.729306137,406.89466309,4.67,1.16464304704
 01/01  20:00:00,160.322714584,27.4181562038,0.0,0.0,13.9747600329,18.6919646116,425.822378727,421.132378727,4.67,0.02
 01/01  21:00:00,151.514951742,27.4181562038,0.0,0.0,13.9747600329,18.6919646116,434.895430176,429.060821999,4.67,1.1646081771
 01/01  22:00:00,137.441813153,27.4181562038,0.0,0.0,13.9747600329,18.6919646116,395.295494926,389.461002828,4.67,1.16449209855
 01/01  23:00:00,76.7355305321,0.0,0.0,0.0,3.49369000822,6.81298672936,1.77125,0.0,1.75125,0.02
 01/01  24:00:00,116.791132441,4.05115353106,0.0,0.0,3.49369000822,6.81298672936,14.6841616543,12.9129116543,1.75125,0.02
 01/02  01:00:00,96.8683038852,13.0980812245,0.0,0.0,3.49369000822,9.08398230582,43.676811787,40.1775390209,2.335,1.1642727661
 01/02  02:00:00,88.5931271015,11.1997766676,0.0,0.0,3.49369000822,9.08398230582,36.5339733278,34.1789733278,2.335,0.02
 01/02  03:00:00,93.2344527899,15.9858941102,0.0,0.0,3.49369000822,9.08398230582,59.4728751796,57.1178751796,2.335,0.02
 01/02  04:00:00,93.4651055955,16.0953044943,0.0,0.0,3.49369000822,9.08398230582,65.3754826793,61.8762154814,2.335,1.16426719788
 01/02  05:00:00,96.6715324313,12.7433336129,0.0,0.0,3.49369000822,9.08398230582,54.0365518794,51.6815518794,2.335,0.02
 01/02  06:00:00,99.4372598624,16.1402498047,0.0,0.0,3.49369000822,9.08398230582,77.3254551664,74.9704551664,2.335,0.02
